corpus	piece	phrase_id	stage	substage	root_numeral	chord
wf_bach_sonatas	F003_n04c	15575	0	0	I	I
wf_bach_sonatas	F003_n04c	15575	1	0	V	V7
wf_bach_sonatas	F003_n04c	15575	2	0	IV	IV
wf_bach_sonatas	F003_n04c	15575	3	0	I	I
wf_bach_sonatas	F003_n04c	15575	4	0	V	V6
wf_bach_sonatas	F003_n04c	15575	4	1	V	V6(#4)
wf_bach_sonatas	F003_n04c	15575	5	0	IV	IV+6
wf_bach_sonatas	F003_n04c	15575	6	0	vi	vi
wf_bach_sonatas	F003_n04c	15575	6	1	vi	V65/vi
wf_bach_sonatas	F003_n04c	15575	7	0	V	V
wf_bach_sonatas	F003_n04c	15575	7	1	V	V65/V
wf_bach_sonatas	F003_n04c	15575	8	0	IV	IV
wf_bach_sonatas	F003_n04c	15575	9	0	I	I6
wf_bach_sonatas	F003_n04c	15571	0	0	I	I
wf_bach_sonatas	F003_n04c	15571	1	0	V	V7
wf_bach_sonatas	F003_n04c	15571	1	1	V	V43
wf_bach_sonatas	F003_n04c	15571	1	2	V	V65
wf_bach_sonatas	F003_n04c	15571	1	3	V	V6
wf_bach_sonatas	F003_n04c	15571	2	0	IV	IV6
wf_bach_sonatas	F003_n04c	15571	2	1	IV	IV6(4)
wf_bach_sonatas	F003_n04c	15571	3	0	vi	vi(9)
wf_bach_sonatas	F003_n04c	15571	3	1	vi	V65/vi
wf_bach_sonatas	F003_n04c	15571	4	0	V	V7
wf_bach_sonatas	F003_n04c	15571	5	0	ii	ii6
wf_bach_sonatas	F003_n04c	15571	5	1	ii	ii6(#4)
wf_bach_sonatas	F003_n04c	15571	6	0	IV	IV(#9)
wf_bach_sonatas	F003_n04c	15571	6	1	IV	V65/IV
wf_bach_sonatas	F003_n04c	15571	7	0	I	I
wf_bach_sonatas	F003_n04c	15571	8	0	V	V2
wf_bach_sonatas	F003_n04c	15571	8	1	V	V
wf_bach_sonatas	F003_n04c	15556	0	0	I	I
wf_bach_sonatas	F003_n04c	15556	1	0	V	V7
wf_bach_sonatas	F003_n04c	15556	2	0	IV	IV
wf_bach_sonatas	F003_n04c	15556	3	0	I	I
wf_bach_sonatas	F003_n04c	15556	4	0	V	V6
wf_bach_sonatas	F003_n04c	15556	4	1	V	V6(#4)
wf_bach_sonatas	F003_n04c	15556	5	0	IV	IV+6
wf_bach_sonatas	F003_n04c	15556	6	0	vi	vi
wf_bach_sonatas	F003_n04c	15556	6	1	vi	V65/vi
wf_bach_sonatas	F003_n04c	15556	7	0	V	V
wf_bach_sonatas	F003_n04c	15556	7	1	V	V65/V
wf_bach_sonatas	F003_n04c	15556	8	0	IV	IV
wf_bach_sonatas	F003_n04c	15556	9	0	I	I6
wf_bach_sonatas	F003_n04c	15552	0	0	I	I
wf_bach_sonatas	F003_n04c	15552	1	0	V	V7
wf_bach_sonatas	F003_n04c	15552	1	1	V	V65
wf_bach_sonatas	F003_n04c	15552	2	0	IV	IV6
wf_bach_sonatas	F003_n04c	15552	2	1	IV	IV6(4)
wf_bach_sonatas	F003_n04c	15552	3	0	vi	vi(9)
wf_bach_sonatas	F003_n04c	15552	3	1	vi	V65/vi
wf_bach_sonatas	F003_n04c	15552	4	0	V	V7
wf_bach_sonatas	F003_n04c	15552	5	0	ii	ii6
wf_bach_sonatas	F003_n04c	15552	5	1	ii	ii6(#4)
