quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
48	0.5	17	16	5/8	5/8	6/8	1	1	1/8			1/8	1		8	68	G#4	4	85
48	0.5	17	16	5/8	5/8	6/8	1	1	1/8			1/8	1		8	80	G#5	5	85
97/2	1.5	18	17	0	0	6/8	2	1	3/8			1/4	3/2		-1	53	F3	3	90
97/2	1.5	18	17	0	0	6/8	2	1	3/8			1/4	3/2		3	57	A3	3	90
97/2	1.5	18	17	0	0	6/8	2	1	3/8			1/4	3/2		0	60	C4	4	90
97/2	1.5	18	17	0	0	6/8	1	1	3/8			1/4	3/2		5	71	B4	4	88
97/2	1.5	18	17	0	0	6/8	1	1	3/8			1/4	3/2		5	83	B5	5	88
50	1.0	18	17	3/8	3/8	6/8	2	2	1/4			1/4	1		-1	41	F2	2	94
50	1.0	18	17	3/8	3/8	6/8	2	2	1/4			1/4	1		0	48	C3	3	94
50	0.5	18	17	3/8	3/8	6/8	2	1	1/8			1/8	1		3	57	A3	3	91
50	0.5	18	17	3/8	3/8	6/8	1	1	1/8			1/8	1		3	69	A4	4	89
50	0.5	18	17	3/8	3/8	6/8	1	1	1/8			1/8	1		3	81	A5	5	89
101/2	0.75	18	17	1/2	1/2	6/8	2	1	3/16			1/8	3/2		5	59	B3	3	92
205/4	0.25	18	17	11/16	11/16	6/8	2	1	1/16			1/16	1		0	60	C4	4	93
103/2	1.0	19	18	0	0	6/8	2	2	1/4			1/4	1		6	42	F#2	2	101
103/2	1.0	19	18	0	0	6/8	2	2	1/4			1/4	1		2	50	D3	3	101
103/2	1.0	19	18	0	0	6/8	2	1	1/4			1/4	1		0	60	C4	4	98
105/2	0.5	19	18	1/4	1/4	6/8	2	1	1/8			1/8	1		2	50	D3	3	99
53	1.0	19	18	3/8	3/8	6/8	2	1	1/4			1/4	1		1	43	G2	2	100
53	1.0	19	18	3/8	3/8	6/8	2	1	1/4			1/4	1		4	52	E3	3	100
53	1.0	19	18	3/8	3/8	6/8	2	1	1/4			1/4	1		1	55	G3	3	100
53	0.5	19	18	3/8	3/8	6/8	1	1	1/8			1/8	1		0	60	C4	4	95
107/2	0.75	19	18	1/2	1/2	6/8	1	1	3/16			1/8	3/2		2	62	D4	4	96
217/4	0.25	19	18	11/16	11/16	6/8	1	1	1/16			1/16	1		4	64	E4	4	97
109/2	1.0	20	19	0	0	6/8	2	1	1/4			1/4	1		3	45	A2	2	108
109/2	1.0	20	19	0	0	6/8	2	1	1/4			1/4	1		6	54	F#3	3	108
109/2	1.0	20	19	0	0	6/8	2	1	1/4			1/4	1		0	60	C4	4	108
109/2	0.5	20	19	0	0	6/8	1	1	1/8			1/8	1		4	64	E4	4	102
55	1.0	20	19	1/8	1/8	6/8	1	1	1/4			1/4	1	1	2	62	D4	4	103
56	1.0	20	19	3/8	3/8	6/8	2	1	1/4			1/4	1		1	43	G2	2	109
56	1.5	20	19	3/8	3/8	6/8	1	2	3/8			1/4	3/2		1	55	G3	3	107
56	1.5	20	19	3/8	3/8	6/8	1	2	3/8			1/4	3/2		5	59	B3	3	107
56	0.5	20	19	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	2	62	D4	4	104
113/2	0.75	20	19	1/2	1/2	6/8	1	1	3/16			1/8	3/2		4	64	E4	4	105
57	0.5	20	19	5/8	5/8	6/8	2	1	1/8			1/8	1		-1	41	F2	2	110
57	0.5	20	19	5/8	5/8	6/8	2	1	1/8			1/8	1		-1	53	F3	3	110
229/4	0.25	20	19	11/16	11/16	6/8	1	1	1/16			1/16	1		-1	65	F4	4	106
115/2	1.0	21	20	0	0	6/8	2	1	1/4			1/4	1		4	40	E2	2	118
115/2	1.0	21	20	0	0	6/8	2	1	1/4			1/4	1		4	52	E3	3	118
115/2	0.5	21	20	0	0	6/8	1	1	1/8			1/8	1		1	55	G3	3	111
115/2	0.5	21	20	0	0	6/8	1	1	1/8			1/8	1		0	60	C4	4	111
115/2	0.5	21	20	0	0	6/8	1	1	1/8			1/8	1		1	67	G4	4	111
58	0.5	21	20	1/8	1/8	6/8	1	1	1/8			1/8	1		0	60	C4	4	112
117/2	0.5	21	20	1/4	1/4	6/8	2	1	1/8			1/8	1		2	38	D2	2	119
117/2	0.5	21	20	1/4	1/4	6/8	2	1	1/8			1/8	1		2	50	D3	3	119
117/2	0.5	21	20	1/4	1/4	6/8	1	1	1/8			1/8	1	1	-2	70	Bb4	4	113
59	1.0	21	20	3/8	3/8	6/8	2	1	1/4			1/4	1		7	37	C#2	2	120
59	1.0	21	20	3/8	3/8	6/8	2	1	1/4			1/4	1		7	49	C#3	3	120
59	1.0	21	20	3/8	3/8	6/8	1	2	1/4			1/4	1		-2	58	Bb3	3	117
59	1.0	21	20	3/8	3/8	6/8	1	2	1/4			1/4	1		4	64	E4	4	117
59	0.5	21	20	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	-2	70	Bb4	4	114
119/2	0.75	21	20	1/2	1/2	6/8	1	1	3/16			1/8	3/2		3	69	A4	4	115
241/4	0.25	21	20	11/16	11/16	6/8	1	1	1/16			1/16	1		1	67	G4	4	116
121/2	1.0	22	21	0	0	6/8	2	1	1/4			1/4	1		2	38	D2	2	129
121/2	1.0	22	21	0	0	6/8	2	1	1/4			1/4	1		2	50	D3	3	129
121/2	1.0	22	21	0	0	6/8	1	2	1/4			1/4	1		3	57	A3	3	127
121/2	1.0	22	21	0	0	6/8	1	2	1/4			1/4	1		2	62	D4	4	127
121/2	0.5	22	21	0	0	6/8	1	1	1/8			1/8	1		1	67	G4	4	121
61	0.75	22	21	1/8	1/8	6/8	1	1	3/16			1/8	3/2		-1	65	F4	4	122
247/4	0.25	22	21	5/16	5/16	6/8	1	1	1/16			1/16	1		4	64	E4	4	123
62	1.5	22	21	3/8	3/8	6/8	2	2	3/8			1/4	3/2		1	43	G2	2	132
62	1.0	22	21	3/8	3/8	6/8	2	1	1/4			1/4	1		-3	51	Eb3	3	130
62	1.5	22	21	3/8	3/8	6/8	1	2	3/8			1/4	3/2		-2	58	Bb3	3	128
62	0.5	22	21	3/8	3/8	6/8	1	1	1/8			1/8	1		-3	63	Eb4	4	124
125/2	0.5	22	21	1/2	1/2	6/8	1	1	1/8			1/8	1		2	62	D4	4	125
63	0.5	22	21	5/8	5/8	6/8	2	1	1/8			1/8	1	1	4	52	E3	3	131
253/4	0.25	22	21	11/16	11/16	6/8	1	1	1/16			1/16	1		4	64	E4	4	126
127/2	1.5	23	22	0	0	6/8	2	2	3/8			1/4	3/2		3	45	A2	2	147
127/2	1.5	23	22	0	0	6/8	2	1	3/8			1/4	3/2	-1	4	52	E3	3	144
127/2	1.0	23	22	0	0	6/8	1	2	1/4			1/4	1		3	57	A3	3	139
127/2	0.5	23	22	0	0	6/8	1	1	1/8			1/8	1		2	62	D4	4	133
64	1.0	23	22	1/8	1/8	6/8	1	1	1/4			1/4	1		7	61	C#4	4	134
129/2	0.25	23	22	1/4	1/4	6/8	1	2	1/16			1/16	1		3	57	A3	3	140
259/4	0.25	23	22	5/16	5/16	6/8	1	2	1/16			1/16	1		1	67	G4	4	141
65	1.5	23	22	3/8	3/8	6/8	2	2	3/8			1/4	3/2		10	46	A#2	2	148
65	1.0	23	22	3/8	3/8	6/8	2	1	1/4			1/4	1		9	51	D#3	3	145
65	1.0	23	22	3/8	3/8	6/8	1	2	1/4			1/4	1		7	61	C#4	4	142
65	0.5	23	22	3/8	3/8	6/8	1	1	1/8			1/8	1		1	67	G4	4	135
131/2	0.5	23	22	1/2	1/2	6/8	1	1	1/8			1/8	1		6	66	F#4	4	136
66	0.5	23	22	5/8	5/8	6/8	2	1	1/8			1/8	1		4	52	E3	3	146
66	0.5	23	22	5/8	5/8	6/8	1	2	1/8			1/8	1		0	60	C4	4	143
66	0.25	23	22	5/8	5/8	6/8	1	1	1/16			1/16	1		4	64	E4	4	137
265/4	0.25	23	22	11/16	11/16	6/8	1	1	1/16			1/16	1		6	66	F#4	4	138
133/2	1.5	24	23	0	0	6/8	2	2	3/8			1/4	3/2		5	47	B2	2	163
133/2	1.5	24	23	0	0	6/8	2	1	3/8			1/4	3/2		6	54	F#3	3	160
133/2	1.0	24	23	0	0	6/8	1	2	1/4			1/4	1		5	59	B3	3	156
133/2	0.5	24	23	0	0	6/8	1	1	1/8			1/8	1		4	64	E4	4	149
67	1.0	24	23	1/8	1/8	6/8	1	1	1/4			1/4	1		9	63	D#4	4	150
135/2	0.25	24	23	1/4	1/4	6/8	1	2	1/16			1/16	1		12	60	B#3	3	157
271/4	0.25	24	23	5/16	5/16	6/8	1	2	1/16			1/16	1		7	61	C#4	4	158
68	1.5	24	23	3/8	3/8	6/8	2	2	3/8			1/4	3/2		3	45	A2	2	164
68	1.0	24	23	3/8	3/8	6/8	2	1	1/4			1/4	1		6	54	F#3	3	161
68	1.5	24	23	3/8	3/8	6/8	1	2	3/8			1/4	3/2	1	7	61	C#4	4	159
68	0.5	24	23	3/8	3/8	6/8	1	1	1/8			1/8	1		9	63	D#4	4	151
137/2	0.25	24	23	1/2	1/2	6/8	1	1	1/16			1/16	1		4	64	E4	4	152
275/4	0.25	24	23	9/16	9/16	6/8	1	1	1/16			1/16	1		11	65	E#4	4	153
69	0.5	24	23	5/8	5/8	6/8	2	1	1/8			1/8	1		9	51	D#3	3	162
69	0.25	24	23	5/8	5/8	6/8	1	1	1/16			1/16	1		6	66	F#4	4	154
277/4	0.25	24	23	11/16	11/16	6/8	1	1	1/16			1/16	1		13	67	F##4	4	155
139/2	1.0	25	24	0	0	6/8	2	1	1/4			1/4	1		8	44	G#2	2	178
139/2	1.0	25	24	0	0	6/8	2	1	1/4			1/4	1		4	52	E3	3	178
139/2	1.0	25	24	0	0	6/8	1	2	1/4			1/4	1	-1	7	61	C#4	4	173
139/2	0.25	25	24	0	0	6/8	1	1	1/16			1/16	1		13	67	F##4	4	165
279/4	0.25	25	24	1/16	1/16	6/8	1	1	1/16			1/16	1		8	68	G#4	4	166
70	0.25	25	24	1/8	1/8	6/8	1	1	1/16			1/16	1		3	69	A4	4	167
281/4	0.25	25	24	3/16	3/16	6/8	1	1	1/16			1/16	1		10	70	A#4	4	168
141/2	0.5	25	24	1/4	1/4	6/8	2	1	1/8			1/8	1		4	40	E2	2	179
141/2	0.5	25	24	1/4	1/4	6/8	2	1	1/8			1/8	1		4	52	E3	3	179
141/2	0.5	25	24	1/4	1/4	6/8	1	2	1/8			1/8	1		2	62	D4	4	174
141/2	0.375	25	24	1/4	1/4	6/8	1	1	3/32			1/16	3/2		8	68	G#4	4	169
141/2	0.375	25	24	1/4	1/4	6/8	1	1	3/32			1/16	3/2		5	71	B4	4	169
567/8	0.125	25	24	11/32	11/32	6/8	1	1	1/32			1/32	1		12	72	B#4	4	170
71	1.5	25	24	3/8	3/8	6/8	2	1	3/8			1/4	3/2		3	33	A1	1	180
71	1.5	25	24	3/8	3/8	6/8	2	1	3/8			1/4	3/2		3	45	A2	2	180
71	0.5	25	24	3/8	3/8	6/8	1	2	1/8			1/8	1		2	62	D4	4	175
71	0.5	25	24	3/8	3/8	6/8	1	1	1/8			1/8	1		8	68	G#4	4	171
71	0.5	25	24	3/8	3/8	6/8	1	1	1/8			1/8	1		12	72	B#4	4	171
143/2	0.75	25	24	1/2	1/2	6/8	1	2	3/16			1/8	3/2		7	61	C#4	4	176
143/2	1.0	25	24	1/2	1/2	6/8	1	1	1/4			1/4	1		3	69	A4	4	172
143/2	1.0	25	24	1/2	1/2	6/8	1	1	1/4			1/4	1		7	73	C#5	5	172
289/4	0.25	25	24	11/16	11/16	6/8	1	2	1/16			1/16	1		2	62	D4	4	177
145/2	3.0	26	25	0	0	6/8	2	2	3/4			1/2	3/2		3	45	A2	2	191
145/2	1.5	26	25	0	0	6/8	2	1	3/8			1/4	3/2		6	54	F#3	3	189
145/2	1.5	26	25	0	0	6/8	1	2	3/8			1/4	3/2	1	7	61	C#4	4	186
145/2	0.5	26	25	0	0	6/8	1	1	1/8			1/8	1		9	63	D#4	4	181
145/2	0.5	26	25	0	0	6/8	1	1	1/8			1/8	1		7	73	C#5	5	181
73	1.0	26	25	1/8	1/8	6/8	1	1	1/4			1/4	1		9	63	D#4	4	182
74	1.5	26	25	3/8	3/8	6/8	2	1	3/8			1/4	3/2		9	51	D#3	3	190
74	1.0	26	25	3/8	3/8	6/8	1	2	1/4			1/4	1	-1	7	61	C#4	4	187
74	0.5	26	25	3/8	3/8	6/8	1	1	1/8			1/8	1		6	66	F#4	4	183
149/2	0.75	26	25	1/2	1/2	6/8	1	1	3/16			1/8	3/2		8	68	G#4	4	184
75	0.5	26	25	5/8	5/8	6/8	1	2	1/8			1/8	1		0	60	C4	4	188
301/4	0.25	26	25	11/16	11/16	6/8	1	1	1/16			1/16	1		3	69	A4	4	185
151/2	1.5	27	26	0	0	6/8	2	2	3/8			1/4	3/2		8	44	G#2	2	199
151/2	1.5	27	26	0	0	6/8	2	1	3/8			1/4	3/2		4	52	E3	3	197
151/2	3.0	27	26	0	0	6/8	1	2	3/4			1/2	3/2		5	59	B3	3	196
151/2	3.0	27	26	0	0	6/8	1	2	3/4			1/2	3/2		4	64	E4	4	196
151/2	0.5	27	26	0	0	6/8	1	1	1/8			1/8	1		10	70	A#4	4	192
76	1.0	27	26	1/8	1/8	6/8	1	1	1/4			1/4	1	1	5	71	B4	4	193
77	1.5	27	26	3/8	3/8	6/8	2	2	3/8			1/4	3/2		7	49	C#3	3	200
77	1.5	27	26	3/8	3/8	6/8	2	1	3/8			1/4	3/2		8	56	G#3	3	198
77	0.5	27	26	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	5	71	B4	4	194
155/2	1.0	27	26	1/2	1/2	6/8	1	1	1/4			1/4	1		5	71	B4	4	195
157/2	3.0	28	27	0	0	6/8	2	2	3/4			1/2	3/2		6	42	F#2	2	211
157/2	1.5	28	27	0	0	6/8	2	1	3/8			1/4	3/2		4	52	E3	3	209
157/2	1.5	28	27	0	0	6/8	1	2	3/8			1/4	3/2	1	5	59	B3	3	206
157/2	0.5	28	27	0	0	6/8	1	1	1/8			1/8	1		7	61	C#4	4	201
157/2	0.5	28	27	0	0	6/8	1	1	1/8			1/8	1		5	71	B4	4	201
79	1.0	28	27	1/8	1/8	6/8	1	1	1/4			1/4	1		7	61	C#4	4	202
80	1.5	28	27	3/8	3/8	6/8	2	1	3/8			1/4	3/2		7	49	C#3	3	210
80	1.0	28	27	3/8	3/8	6/8	1	2	1/4			1/4	1	-1	5	59	B3	3	207
80	0.5	28	27	3/8	3/8	6/8	1	1	1/8			1/8	1		4	64	E4	4	203
161/2	0.75	28	27	1/2	1/2	6/8	1	1	3/16			1/8	3/2		6	66	F#4	4	204
81	0.5	28	27	5/8	5/8	6/8	1	2	1/8			1/8	1		10	58	A#3	3	208
325/4	0.25	28	27	11/16	11/16	6/8	1	1	1/16			1/16	1		8	68	G#4	4	205
163/2	1.5	29	28	0	0	6/8	2	2	3/8			1/4	3/2		5	47	B2	2	221
163/2	3.0	29	28	0	0	6/8	2	1	3/4			1/2	3/2		6	54	F#3	3	220
163/2	1.5	29	28	0	0	6/8	1	2	3/8			1/4	3/2	1	3	57	A3	3	216
163/2	2.0	29	28	0	0	6/8	1	3	1/2			1/2	1		9	63	D#4	4	219
163/2	0.5	29	28	0	0	6/8	1	1	1/8			1/8	1		8	68	G#4	4	212
82	1.0	29	28	1/8	1/8	6/8	1	1	1/4			1/4	1	1	3	69	A4	4	213
83	1.5	29	28	3/8	3/8	6/8	2	2	3/8			1/4	3/2		0	48	C3	3	222
83	0.5	29	28	3/8	3/8	6/8	1	2	1/8			1/8	1	-1	3	57	A3	3	217
83	0.5	29	28	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	3	69	A4	4	214
167/2	1.0	29	28	1/2	1/2	6/8	1	2	1/4			1/4	1	1	3	57	A3	3	218
167/2	1.0	29	28	1/2	1/2	6/8	1	1	1/4			1/4	1	1	3	69	A4	4	215
169/2	0.5	30	29	0	0	6/8	2	1	1/8			1/8	1		9	39	D#2	2	230
169/2	0.5	30	29	0	0	6/8	2	1	1/8			1/8	1		0	48	C3	3	230
169/2	0.5	30	29	0	0	6/8	2	1	1/8			1/8	1		6	54	F#3	3	230
169/2	0.5	30	29	0	0	6/8	1	1	1/8			1/8	1	-1	3	57	A3	3	223
169/2	0.5	30	29	0	0	6/8	1	2	1/8			1/8	1		0	60	C4	4	229
169/2	0.5	30	29	0	0	6/8	1	2	1/8			1/8	1		6	66	F#4	4	229
169/2	0.5	30	29	0	0	6/8	1	1	1/8			1/8	1	-1	3	69	A4	4	223
85	0.75	30	29	1/8	1/8	6/8	1	1	3/16			1/8	3/2		0	60	C4	4	224
85	0.75	30	29	1/8	1/8	6/8	1	1	3/16			1/8	3/2		0	72	C5	5	224
343/4	0.25	30	29	5/16	5/16	6/8	1	1	1/16			1/16	1		5	59	B3	3	225
343/4	0.25	30	29	5/16	5/16	6/8	1	1	1/16			1/16	1		5	71	B4	4	225
86	0.5	30	29	3/8	3/8	6/8	1	1	1/8			1/8	1		5	59	B3	3	226
