quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	0	0	5/8	6/8	1	1	1/8			1/8	1		3	57	A3	3	0
1/2	1.5	2	1	0	0	6/8	1	1	3/8			1/4	3/2	1	-1	65	F4	4	1
2	1.0	2	1	3/8	3/8	6/8	1	1	1/4			1/4	1	-1	-1	65	F4	4	2
3	0.5	2	1	5/8	5/8	6/8	1	1	1/8			1/8	1		4	64	E4	4	3
7/2	3.0	3	2	0	0	6/8	2	1	3/4			1/2	3/2		-1	53	F3	3	8
7/2	3.0	3	2	0	0	6/8	2	1	3/4			1/2	3/2		5	59	B3	3	8
7/2	3.0	3	2	0	0	6/8	1	2	3/4			1/2	3/2		9	63	D#4	4	7
7/2	1.5	3	2	0	0	6/8	1	1	3/8			1/4	3/2	1	8	68	G#4	4	4
5	1.0	3	2	3/8	3/8	6/8	1	1	1/4			1/4	1	-1	8	68	G#4	4	5
6	0.5	3	2	5/8	5/8	6/8	1	1	1/8			1/8	1		3	69	A4	4	6
13/2	1.5	4	3	0	0	6/8	2	1	3/8			1/4	3/2	1	4	52	E3	3	14
13/2	1.5	4	3	0	0	6/8	2	1	3/8			1/4	3/2	1	8	56	G#3	3	14
13/2	1.5	4	3	0	0	6/8	1	2	3/8			1/4	3/2	1	2	62	D4	4	12
13/2	0.5	4	3	0	0	6/8	1	1	1/8			1/8	1		10	70	A#4	4	9
7	1.0	4	3	1/8	1/8	6/8	1	1	1/4			1/4	1	1	5	71	B4	4	10
8	0.5	4	3	3/8	3/8	6/8	2	1	1/8			1/8	1	-1	4	52	E3	3	15
8	0.5	4	3	3/8	3/8	6/8	2	1	1/8			1/8	1	-1	8	56	G#3	3	15
8	0.5	4	3	3/8	3/8	6/8	1	2	1/8			1/8	1	-1	2	62	D4	4	13
8	0.5	4	3	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	5	71	B4	4	11
12	0.5	5	4	5/8	5/8	6/8	1	1	1/8			1/8	1		5	59	B3	3	16
25/2	1.5	6	5	0	0	6/8	1	1	3/8			1/4	3/2	1	8	68	G#4	4	17
14	1.0	6	5	3/8	3/8	6/8	1	1	1/4			1/4	1	-1	8	68	G#4	4	18
15	0.5	6	5	5/8	5/8	6/8	1	1	1/8			1/8	1		1	67	G4	4	19
31/2	3.0	7	6	0	0	6/8	2	1	3/4			1/2	3/2		-4	56	Ab3	3	24
31/2	3.0	7	6	0	0	6/8	2	1	3/4			1/2	3/2		2	62	D4	4	24
31/2	3.0	7	6	0	0	6/8	1	2	3/4			1/2	3/2	1	6	66	F#4	4	23
31/2	1.5	7	6	0	0	6/8	1	1	3/8			1/4	3/2	1	5	71	B4	4	20
17	1.0	7	6	3/8	3/8	6/8	1	1	1/4			1/4	1	-1	5	71	B4	4	21
18	0.5	7	6	5/8	5/8	6/8	1	1	1/8			1/8	1		0	72	C5	5	22
37/2	1.5	8	7	0	0	6/8	2	1	3/8			1/4	3/2	1	1	55	G3	3	30
37/2	1.5	8	7	0	0	6/8	2	1	3/8			1/4	3/2	1	5	59	B3	3	30
37/2	1.5	8	7	0	0	6/8	1	2	3/8			1/4	3/2	1	-1	65	F4	4	28
37/2	0.5	8	7	0	0	6/8	1	1	1/8			1/8	1		7	73	C#5	5	25
19	1.0	8	7	1/8	1/8	6/8	1	1	1/4			1/4	1	1	2	74	D5	5	26
20	0.5	8	7	3/8	3/8	6/8	2	1	1/8			1/8	1	-1	1	55	G3	3	31
20	0.5	8	7	3/8	3/8	6/8	2	1	1/8			1/8	1	-1	5	59	B3	3	31
20	0.5	8	7	3/8	3/8	6/8	1	2	1/8			1/8	1	-1	-1	65	F4	4	29
20	0.5	8	7	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	2	74	D5	5	27
45/2	0.5	9	8	1/4	1/4	6/8	1	1	1/8			1/8	1		2	62	D4	4	32
23	1.5	9	8	3/8	3/8	6/8	1	1	3/8			1/4	3/2	1	5	71	B4	4	33
49/2	0.5	10	9	0	0	6/8	1	1	1/8			1/8	1	-1	5	71	B4	4	34
25	1.0	10	9	1/8	1/8	6/8	1	1	1/4			1/4	1	1	-2	70	Bb4	4	35
26	0.5	10	9	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	-2	70	Bb4	4	36
53/2	1.0	10	9	1/2	1/2	6/8	1	1	1/4			1/4	1		3	69	A4	4	37
55/2	3.0	11	10	0	0	6/8	2	2	3/4			1/2	3/2		0	60	C4	4	46
55/2	1.5	11	10	0	0	6/8	2	1	3/8			1/4	3/2	1	-1	65	F4	4	43
55/2	3.0	11	10	0	0	6/8	1	2	3/4			1/2	3/2		8	68	G#4	4	42
55/2	1.5	11	10	0	0	6/8	1	1	3/8			1/4	3/2	1	2	74	D5	5	38
29	1.0	11	10	3/8	3/8	6/8	2	1	1/4			1/4	1	-1	-1	65	F4	4	44
29	0.5	11	10	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	2	74	D5	5	39
59/2	0.5	11	10	1/2	1/2	6/8	1	1	1/8			1/8	1		9	75	D#5	5	40
30	0.5	11	10	5/8	5/8	6/8	2	1	1/8			1/8	1		4	64	E4	4	45
30	0.5	11	10	5/8	5/8	6/8	1	1	1/8			1/8	1		4	76	E5	5	41
61/2	1.5	12	11	0	0	6/8	2	1	3/8			1/4	3/2	1	5	59	B3	3	52
61/2	1.5	12	11	0	0	6/8	2	1	3/8			1/4	3/2	1	9	63	D#4	4	52
61/2	1.5	12	11	0	0	6/8	1	2	3/8			1/4	3/2	1	3	69	A4	4	50
61/2	0.5	12	11	0	0	6/8	1	1	1/8			1/8	1		11	77	E#5	5	47
31	1.0	12	11	1/8	1/8	6/8	1	1	1/4			1/4	1	1	6	78	F#5	5	48
32	0.5	12	11	3/8	3/8	6/8	2	1	1/8			1/8	1	-1	5	59	B3	3	53
32	0.5	12	11	3/8	3/8	6/8	2	1	1/8			1/8	1	-1	9	63	D#4	4	53
32	0.5	12	11	3/8	3/8	6/8	1	2	1/8			1/8	1	-1	3	69	A4	4	51
32	0.5	12	11	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	6	78	F#5	5	49
67/2	3.0	13	12	0	0	6/8	2	2	3/4			1/2	3/2		0	72	C5	5	62
67/2	1.5	13	12	0	0	6/8	2	1	3/8			1/4	3/2	1	-1	77	F5	5	59
67/2	3.0	13	12	0	0	6/8	1	2	3/4			1/2	3/2		8	80	G#5	5	58
67/2	1.5	13	12	0	0	6/8	1	1	3/8			1/4	3/2	1	2	86	D6	6	54
35	1.0	13	12	3/8	3/8	6/8	2	1	1/4			1/4	1	-1	-1	77	F5	5	60
35	0.5	13	12	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	2	86	D6	6	55
71/2	0.5	13	12	1/2	1/2	6/8	1	1	1/8			1/8	1		9	87	D#6	6	56
36	0.5	13	12	5/8	5/8	6/8	2	1	1/8			1/8	1		4	76	E5	5	61
36	0.5	13	12	5/8	5/8	6/8	1	1	1/8			1/8	1		4	88	E6	6	57
73/2	1.5	14	13	0	0	6/8	2	2	3/8			1/4	3/2	1	5	71	B4	4	70
73/2	1.5	14	13	0	0	6/8	2	1	3/8			1/4	3/2	1	9	75	D#5	5	68
73/2	1.5	14	13	0	0	6/8	1	2	3/8			1/4	3/2	1	3	81	A5	5	66
73/2	0.5	14	13	0	0	6/8	1	1	1/8			1/8	1		11	89	E#6	6	63
37	1.0	14	13	1/8	1/8	6/8	1	1	1/4			1/4	1	1	6	90	F#6	6	64
38	0.5	14	13	3/8	3/8	6/8	2	2	1/8			1/8	1	-1	5	71	B4	4	71
38	0.5	14	13	3/8	3/8	6/8	2	1	1/8			1/8	1	-1	9	75	D#5	5	69
38	0.5	14	13	3/8	3/8	6/8	1	2	1/8			1/8	1	-1	3	81	A5	5	67
38	0.5	14	13	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	6	90	F#6	6	65
79/2	0.5	15	14	0	0	6/8	2	1	1/8			1/8	1		11	65	E#4	4	75
79/2	0.5	15	14	0	0	6/8	1	1	1/8			1/8	1		11	77	E#5	5	72
40	1.0	15	14	1/8	1/8	6/8	2	1	1/4			1/4	1	1	6	66	F#4	4	76
40	1.0	15	14	1/8	1/8	6/8	1	1	1/4			1/4	1	1	6	78	F#5	5	73
41	0.5	15	14	3/8	3/8	6/8	2	1	1/8			1/8	1	-1	6	66	F#4	4	77
41	0.5	15	14	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	6	78	F#5	5	74
85/2	0.5	16	15	0	0	6/8	1	1	1/8			1/8	1		11	77	E#5	5	78
85/2	0.5	16	15	0	0	6/8	1	1	1/8			1/8	1		11	89	E#6	6	78
43	1.0	16	15	1/8	1/8	6/8	1	1	1/4			1/4	1	1	6	78	F#5	5	79
43	1.0	16	15	1/8	1/8	6/8	1	1	1/4			1/4	1	1	6	90	F#6	6	79
44	0.5	16	15	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	6	78	F#5	5	80
44	0.5	16	15	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	6	90	F#6	6	80
91/2	1.0	17	16	0	0	6/8	2	1	1/4			1/4	1		4	40	E2	2	86
91/2	1.0	17	16	0	0	6/8	2	1	1/4			1/4	1		5	47	B2	2	86
91/2	1.0	17	16	0	0	6/8	2	1	1/4			1/4	1		2	50	D3	3	86
91/2	1.0	17	16	0	0	6/8	2	1	1/4			1/4	1		8	56	G#3	3	86
91/2	0.5	17	16	0	0	6/8	1	1	1/8			1/8	1		11	65	E#4	4	81
91/2	0.5	17	16	0	0	6/8	1	1	1/8			1/8	1		11	77	E#5	5	81
46	1.0	17	16	1/8	1/8	6/8	1	1	1/4			1/4	1	0	6	66	F#4	4	82
46	1.0	17	16	1/8	1/8	6/8	1	1	1/4			1/4	1	1	6	78	F#5	5	82
47	1.5	17	16	3/8	3/8	6/8	2	1	3/8			1/4	3/2		4	52	E3	3	87
47	1.5	17	16	3/8	3/8	6/8	2	1	3/8			1/4	3/2		5	59	B3	3	87
47	1.5	17	16	3/8	3/8	6/8	2	1	3/8			1/4	3/2		2	62	D4	4	87
47	0.5	17	16	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	6	66	F#4	4	83
47	0.5	17	16	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	6	78	F#5	5	83
95/2	0.5	17	16	1/2	1/2	6/8	1	1	1/8			1/8	1		1	67	G4	4	84
95/2	0.5	17	16	1/2	1/2	6/8	1	1	1/8			1/8	1		1	79	G5	5	84
