mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5	0	5/8	6/8	1	1	1/8			1/8	1		3	57	A3	3	0
2	1	1/2	1/2	1.5	0	0	6/8	1	1	3/8			1/4	3/2	1	-1	65	F4	4	1
2	1	2	2	1.0	3/8	3/8	6/8	1	1	1/4			1/4	1	-1	-1	65	F4	4	2
2	1	3	3	0.5	5/8	5/8	6/8	1	1	1/8			1/8	1		4	64	E4	4	3
3	2	7/2	7/2	3.0	0	0	6/8	2	1	3/4			1/2	3/2		-1	53	F3	3	8
3	2	7/2	7/2	3.0	0	0	6/8	2	1	3/4			1/2	3/2		5	59	B3	3	8
3	2	7/2	7/2	3.0	0	0	6/8	1	2	3/4			1/2	3/2		9	63	D#4	4	7
3	2	7/2	7/2	1.5	0	0	6/8	1	1	3/8			1/4	3/2	1	8	68	G#4	4	4
3	2	5	5	1.0	3/8	3/8	6/8	1	1	1/4			1/4	1	-1	8	68	G#4	4	5
3	2	6	6	0.5	5/8	5/8	6/8	1	1	1/8			1/8	1		3	69	A4	4	6
4	3	13/2	13/2	1.5	0	0	6/8	2	1	3/8			1/4	3/2	1	4	52	E3	3	14
4	3	13/2	13/2	1.5	0	0	6/8	2	1	3/8			1/4	3/2	1	8	56	G#3	3	14
4	3	13/2	13/2	1.5	0	0	6/8	1	2	3/8			1/4	3/2	1	2	62	D4	4	12
4	3	13/2	13/2	0.5	0	0	6/8	1	1	1/8			1/8	1		10	70	A#4	4	9
4	3	7	7	1.0	1/8	1/8	6/8	1	1	1/4			1/4	1	1	5	71	B4	4	10
4	3	8	8	0.5	3/8	3/8	6/8	2	1	1/8			1/8	1	-1	4	52	E3	3	15
4	3	8	8	0.5	3/8	3/8	6/8	2	1	1/8			1/8	1	-1	8	56	G#3	3	15
4	3	8	8	0.5	3/8	3/8	6/8	1	2	1/8			1/8	1	-1	2	62	D4	4	13
4	3	8	8	0.5	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	5	71	B4	4	11
5	4	12	12	0.5	5/8	5/8	6/8	1	1	1/8			1/8	1		5	59	B3	3	16
6	5	25/2	25/2	1.5	0	0	6/8	1	1	3/8			1/4	3/2	1	8	68	G#4	4	17
6	5	14	14	1.0	3/8	3/8	6/8	1	1	1/4			1/4	1	-1	8	68	G#4	4	18
6	5	15	15	0.5	5/8	5/8	6/8	1	1	1/8			1/8	1		1	67	G4	4	19
7	6	31/2	31/2	3.0	0	0	6/8	2	1	3/4			1/2	3/2		-4	56	Ab3	3	24
7	6	31/2	31/2	3.0	0	0	6/8	2	1	3/4			1/2	3/2		2	62	D4	4	24
7	6	31/2	31/2	3.0	0	0	6/8	1	2	3/4			1/2	3/2	1	6	66	F#4	4	23
7	6	31/2	31/2	1.5	0	0	6/8	1	1	3/8			1/4	3/2	1	5	71	B4	4	20
7	6	17	17	1.0	3/8	3/8	6/8	1	1	1/4			1/4	1	-1	5	71	B4	4	21
7	6	18	18	0.5	5/8	5/8	6/8	1	1	1/8			1/8	1		0	72	C5	5	22
8	7	37/2	37/2	1.5	0	0	6/8	2	1	3/8			1/4	3/2	1	1	55	G3	3	30
8	7	37/2	37/2	1.5	0	0	6/8	2	1	3/8			1/4	3/2	1	5	59	B3	3	30
8	7	37/2	37/2	1.5	0	0	6/8	1	2	3/8			1/4	3/2	1	-1	65	F4	4	28
8	7	37/2	37/2	0.5	0	0	6/8	1	1	1/8			1/8	1		7	73	C#5	5	25
8	7	19	19	1.0	1/8	1/8	6/8	1	1	1/4			1/4	1	1	2	74	D5	5	26
8	7	20	20	0.5	3/8	3/8	6/8	2	1	1/8			1/8	1	-1	1	55	G3	3	31
8	7	20	20	0.5	3/8	3/8	6/8	2	1	1/8			1/8	1	-1	5	59	B3	3	31
8	7	20	20	0.5	3/8	3/8	6/8	1	2	1/8			1/8	1	-1	-1	65	F4	4	29
8	7	20	20	0.5	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	2	74	D5	5	27
9	8	45/2	45/2	0.5	1/4	1/4	6/8	1	1	1/8			1/8	1		2	62	D4	4	32
9	8	23	23	1.5	3/8	3/8	6/8	1	1	3/8			1/4	3/2	1	5	71	B4	4	33
10	9	49/2	49/2	0.5	0	0	6/8	1	1	1/8			1/8	1	-1	5	71	B4	4	34
10	9	25	25	1.0	1/8	1/8	6/8	1	1	1/4			1/4	1	1	-2	70	Bb4	4	35
10	9	26	26	0.5	3/8	3/8	6/8	1	1	1/8			1/8	1	-1	-2	70	Bb4	4	36
10	9	53/2	53/2	1.0	1/2	1/2	6/8	1	1	1/4			1/4	1		3	69	A4	4	37
11	10	55/2	55/2	3.0	0	0	6/8	2	2	3/4			1/2	3/2		0	60	C4	4	46
11	10	55/2	55/2	1.5	0	0	6/8	2	1	3/8			1/4	3/2	1	-1	65	F4	4	43
11	10	55/2	55/2	3.0	0	0	6/8	1	2	3/4			1/2	3/2		8	68	G#4	4	42
