mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	5/8	6/8	2	1	a.i					a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	0.0	1.0	0.0	0.0	0.125	0.0
2	1	0	0	6/8	2	1	iv6				VI	a	i		iv6	iv		6					m	1	1	-1, 3, 2		2.0	-1.0	0.0	2.0	0.0	0.0	0.625	0.0
2	1	5/8	5/8	6/8	2	1	V				III6	a	i		V	V							M	1	1	4, 8, 5		4.0	4.0	0.0	1.0	0.0	0.0	0.125	0.0
3	2	0	0	6/8	2	1	V64(#6b5)/V					a	i		V64(#6b5)/V	V		64	#6b5	V			M	1	1	-1, 5, 9	15	5.0	-1.0	2.0	3.0	0.4	0.625	2.25	0.21739130434782608
3	2	5/8	5/8	6/8	2	1	V43(b5)/V	-2.7	-7	/		a	i		V43(b5)/V	V		43	b5	V			Mm7	1	1	-1, 3, 5, 9		5.0	-1.0	0.0	1.0	0.0	0.0	0.125	0.0
4	3	0	0	6/8	2	1	V7(#4)					a	i		V7(#4)	V		7	#4				Mm7	1	1	4, 8, 10, 2		4.0	4.0	0.0	4.0	0.0	0.0	1.25	0.0
4	3	1/8	1/8	6/8	2	1	V7\\					a	i		V7	V		7				\\	Mm7	1	1	4, 8, 5, 2		4.0	4.0	0.0	5.0	0.0	0.0	0.75	0.0
5	4	5/8	5/8	6/8	2	1	V64					a	i		V64	V		64					M	1	1	5, 4, 8		4.0	5.0	0.0	1.0	0.0	0.0	0.125	0.0
6	5	0	0	6/8	2	1	V6					a	i		V6	V		6					M	1	1	8, 5, 4		4.0	8.0	0.0	2.0	0.0	0.0	0.625	0.0
6	5	5/8	5/8	6/8	2	1	v6					a	i		v6	v		6					m	1	1	1, 5, 4		4.0	1.0	0.0	1.0	0.0	0.0	0.125	0.0
7	6	0	0	6/8	2	1	V64(6b5)/VII					a	i		V64(6b5)/VII	V		64	6b5	VII			M	1	1	-4, 5, 2, 6		2.0	-4.0	0.0	5.0	0.0	0.0	2.875	0.0
7	6	5/8	5/8	6/8	2	1	V43(b5)/VII	-3.7	-7	/		a	i		V43(b5)/VII	V		43	b5	VII			Mm7	1	1	-4, 0, 2, 6		2.0	-4.0	0.0	1.0	0.0	0.0	0.125	0.0
8	7	0	0	6/8	2	1	V7(#4)/III					a	i		V7(#4)/III	V		7	#4	III			Mm7	1	1	1, 5, 7, -1		1.0	1.0	0.0	4.0	0.0	0.0	1.25	0.0
8	7	1/8	1/8	6/8	2	1	V7/III\\					a	i		V7/III	V		7		III		\\	Mm7	1	1	1, 5, 2, -1		1.0	1.0	0.0	5.0	0.0	0.0	0.75	0.0
9	8	1/4	1/4	6/8	2	1	VII64					a	i		VII64	VII		64					M	1	1	2, 1, 5		1.0	2.0	0.0	1.0	0.0	0.0	0.125	0.0
9	8	3/8	3/8	6/8	2	1	VII6					a	i		VII6	VII		6					M	1	1	5, 2, 1		1.0	5.0	0.0	2.0	0.0	0.0	0.5	0.0
10	9	1/8	1/8	6/8	2	1	vii6					a	i		vii6	vii		6					m	1	1	-2, 2, 1		1.0	-2.0	0.0	2.0	0.0	0.0	0.375	0.0
10	9	1/2	1/2	6/8	2	1	i					a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	0.0	1.0	0.0	0.0	0.25	0.0
11	10	0	0	6/8	2	1	#viio65(4)					a	i		#viio65(4)	#vii	o	65	4				o7	1	1	0, 2, -1, 8		8.0	0.0	1.0	6.0	0.14285714285714285	0.125	2.625	0.045454545454545456
11	10	5/8	5/8	6/8	2	1	V64(6)					a	i		V64(6)	V		64	6				M	1	1	0, 4, 8		4.0	0.0	0.0	2.0	0.0	0.0	0.25	0.0
