corpus	piece	i	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	alt_label	volta	pedalend	placement	bass_name
ABC	n02op18-2_02	161	84	78	200	200	3.0	0	0	3/4	4	1	V2/IV	C	I		V2/IV		V		2		IV			Mm7	False	False	(-2, 0, 4, 1)	()	0	-2					Bb
ABC	n02op18-2_02	162	85	79	203	203	1.0	0	0	3/4	4	1	IV6	C	I		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					A
ABC	n02op18-2_02	163	85	79	204	204	1.0	1/4	1/4	3/4	4	1	ii43	C	I		ii43		ii		43					mm7	False	False	(3, 0, 2, -1)	()	2	3					A
ABC	n02op18-2_02	164	85	79	205	205	1.0	1/2	1/2	3/4	4	1	Ger6	C	I		Ger6	Ger	vii	o	65	b3	V			Ger	False	False	(-4, 0, -3, 6)	()	6	-4					Ab
ABC	n02op18-2_02	165	86	80	206	206	2.0	0	0	3/4	4	1	V(64)	C	I		V(64)		V			64				M	False	False	(1, 0, 4)	()	1	1					G
ABC	n02op18-2_02	166	86	80	208	208	1.0	1/2	1/2	3/4	4	1	V7	C	I		V7		V		7					Mm7	False	False	(1, 5, 2, -1)	()	1	1					G
ABC	n02op18-2_03	82	47	44	130	130	3.0	0	0	3/4	4	1	I	G	IV		I		I							M	False	False	(0, 4, 1)	()	0	0					C
ABC	n02op18-2_03	83	48	45	133	133	3.0	0	0	3/4	4	1	V65	G	IV		V65		V		65					Mm7	False	False	(5, 2, -1, 1)	()	1	5					B
ABC	n02op18-2_03	84	49	46	136	136	3.0	0	0	3/4	4	1	V2/IV	G	IV		V2/IV		V		2		IV			Mm7	False	False	(-2, 0, 4, 1)	()	0	-2					Bb
ABC	n02op18-2_03	85	50	47	139	139	3.0	0	0	3/4	4	1	IV6	G	IV		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					A
ABC	n02op18-2_03	86	51	48	142	142	3.0	0	0	3/4	4	1	It6	G	IV		It6	It	vii	o	6	b3	V			It	False	False	(-4, 0, 6)	()	6	-4					Ab
ABC	n02op18-2_03	87	52	49	145	145	3.0	0	0	3/4	4	1	V	G	IV		V		V							M	False	False	(1, 5, 2)	()	1	1					G
ABC	n02op18-2_04	195	160	160	639/2	639/2	2.0	3/8	3/8	2/4	4	1	V65	G	iv		V65		V		65					Mm7	False	True	(5, 2, -1, 1)	()	1	5					B
