corpus	piece	i	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	alt_label	volta	pedalend	placement	bass_name
ABC	n02op18-2_04	196	161	161	643/2	643/2	0.5	3/8	3/8	2/4	4	1	V2/IV	G	iv		V2/IV		V		2		IV			Mm7	False	True	(-2, 0, 4, 1)	()	0	-2					Bb
ABC	n02op18-2_04	197	162	162	322	322	1.5	0	0	2/4	4	1	IV6	G	iv		IV6		IV		6					M	False	True	(3, 0, -1)	()	-1	3					A
ABC	n02op18-2_04	198	162	162	647/2	647/2	0.5	3/8	3/8	2/4	4	1	Ger6	G	iv		Ger6	Ger	vii	o	65	b3	V			Ger	False	True	(-4, 0, -3, 6)	()	6	-4					Ab
ABC	n02op18-2_04	199	163	163	324	324	0.5	0	0	2/4	4	1	V\\	G	iv		V		V						\\	M	False	True	(1, 5, 2)	()	1	1					G
ABC	n02op18-2_04	200	163	163	649/2	649/2	1.5	1/8	1/8	2/4	4	1	V7	G	iv		V7		V		7					Mm7	False	True	(1, 5, 2, -1)	()	1	1					G
ABC	n02op18-2_04	201	164	164	326	326	2.0	0	0	2/4	4	1	V(64)	G	iv		V(64)		V			64				M	False	True	(1, 0, -3)	()	1	1					G
ABC	n02op18-2_04	202	165	165	328	328	2.0	0	0	2/4	4	1	V7	G	iv		V7		V		7					Mm7	False	True	(1, 5, 2, -1)	()	1	1					G
ABC	n02op18-2_04	203	166	166	330	330	2.0	0	0	2/4	4	1	V(64)	G	iv		V(64)		V			64				M	False	True	(1, 0, -3)	()	1	1					G
ABC	n02op18-2_04	204	167	167	332	332	2.0	0	0	2/4	4	1	V	G	iv		V		V							M	False	True	(1, 5, 2)	()	1	1					G
ABC	n02op18-2_04	205	168	168	334	334	2.0	0	0	2/4	4	1	V(64)	G	iv		V(64)		V			64				M	False	True	(1, 0, -3)	()	1	1					G
ABC	n02op18-2_04	206	169	169	336	336	2.0	0	0	2/4	4	1	V	G	iv		V		V							M	False	True	(1, 5, 2)	()	1	1					G
ABC	n02op18-2_04	207	170	170	338	338	2.0	0	0	2/4	4	1	V(64)	G	iv		V(64)		V			64				M	False	True	(1, 0, -3)	()	1	1					G
ABC	n02op18-2_04	208	171	171	340	340	2.0	0	0	2/4	4	1	V\\	G	iv		V		V						\\	M	False	True	(1, 5, 2)	()	1	1					G
ABC	n02op18-2_04	209	172	172	342	342	6.0	0	0	2/4	4	1	V	G	iv		V		V							M	False	True	(1, 5, 2)	()	1	1					G
ABC	n02op18-2_04	210	175	175	348	348	4.0	0	0	2/4	4	1	IV.V7	G	IV		V7		V		7					Mm7	False	False	(1, 5, 2, -1)	()	1	1					G
ABC	n02op18-2_04	211	177	177	352	352	2.0	0	0	2/4	4	1	V7(+9)	G	IV		V7(+9)		V		7	+9				Mm7	False	False	(1, 5, 2, -1)	(3,)	1	1					G
ABC	n02op18-2_04	212	178	178	354	354	2.0	0	0	2/4	4	1	V	G	IV		V		V							M	False	False	(1, 5, 2)	()	1	1					G
ABC	n03op18-3_04	119	69	68	202	202	3.0	0	0	6/8	4	1	I	D	V		I		I							M	False	False	(0, 4, 1)	()	0	0					A
ABC	n03op18-3_04	120	70	69	205	205	1.5	0	0	6/8	4	1	V65	D	V		V65		V		65					Mm7	False	False	(5, 2, -1, 1)	()	1	5					G#
ABC	n03op18-3_04	121	70	69	413/2	413/2	1.5	3/8	3/8	6/8	4	1	V2/IV	D	V		V2/IV		V		2		IV			Mm7	False	False	(-2, 0, 4, 1)	()	0	-2					G
ABC	n03op18-3_04	122	71	70	208	208	1.5	0	0	6/8	4	1	IV6	D	V		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					F#
ABC	n03op18-3_04	189	107	106	316	316	1.0	0	0	6/8	4	1	ii6(2)	D	I	V	ii6(2)		ii		6	2				m	False	False	(-1, 3, 4)	()	2	-1					G
ABC	n03op18-3_04	190	107	106	317	317	0.5	1/4	1/4	6/8	4	1	ii6	D	I	V	ii6		ii		6					m	False	False	(-1, 3, 2)	()	2	-1					G
ABC	n03op18-3_04	191	107	106	635/2	635/2	1.0	3/8	3/8	6/8	4	1	#viio6(2)/ii	D	I	V	#viio6(2)/ii		#vii	o	6	2	ii			o	False	False	(4, 1, 2)	()	7	4					F#
ABC	n03op18-3_04	192	107	106	637/2	637/2	0.5	5/8	5/8	6/8	4	1	#viio6/ii	D	I	V	#viio6/ii		#vii	o	6		ii			o	False	False	(4, 1, 7)	()	7	4					F#
ABC	n03op18-3_04	193	108	107	319	319	1.5	0	0	6/8	4	1	viio2/V	D	I	V	viio2/V		vii	o	2		V			o7	False	False	(-3, 6, 3, 0)	()	6	-3					F
ABC	n03op18-3_04	194	108	107	641/2	641/2	1.0	3/8	3/8	6/8	4	1	viio6(2)	D	I	V	viio6(2)		vii	o	6	2				o	False	False	(2, -1, 0)	()	5	2					E
ABC	n03op18-3_04	195	108	107	643/2	643/2	0.5	5/8	5/8	6/8	4	1	viio6	D	I	V	viio6		vii	o	6					o	False	False	(2, -1, 5)	()	5	2					E
ABC	n03op18-3_04	196	109	108	322	322	3.0	0	0	6/8	4	1	viio6	D	I	V	viio6		vii	o	6					o	False	False	(2, -1, 5)	()	5	2					E
ABC	n03op18-3_04	197	110	109	325	325	3.0	0	0	6/8	4	1	viio6]	D	I	V	viio6		vii	o	6					o	False	False	(2, -1, 5)	()	5	2					E
ABC	n03op18-3_04	230	145	137	409	430	1.5	0	0	6/8	4	1	I	D	I		I		I							M	False	False	(0, 4, 1)	()	0	0					D
ABC	n03op18-3_04	231	145	137	821/2	863/2	4.5	3/8	3/8	6/8	4	1	vi6	D	I		vi6		vi		6					m	False	False	(0, 4, 3)	()	3	0					D
ABC	n03op18-3_04	232	147	139	415	436	1.5	0	0	6/8	4	1	V6(2)	D	I		V6(2)		V		6	2				M	False	False	(5, 2, 3)	()	1	5					C#
ABC	n03op18-3_04	233	147	139	833/2	875/2	4.5	3/8	3/8	6/8	4	1	V6	D	I		V6		V		6					M	False	False	(5, 2, 1)	()	1	5					C#
ABC	n03op18-3_04	234	149	141	421	442	6.0	0	0	6/8	4	1	v6	D	I		v6		v		6					m	False	False	(-2, 2, 1)	()	1	-2					C
ABC	n03op18-3_04	235	151	143	427	448	1.5	0	0	6/8	4	1	IV6(2)	D	I		IV6(2)		IV		6	2				M	False	False	(3, 0, 1)	()	-1	3					B
ABC	n03op18-3_04	236	151	143	857/2	899/2	4.5	3/8	3/8	6/8	4	1	IV6	D	I		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					B
ABC	n03op18-3_04	297	200	192	574	595	3.0	0	0	6/8	4	1	I64	D	IV		I64		I		64					M	False	False	(1, 0, 4)	()	0	1					D
ABC	n03op18-3_04	298	201	193	577	598	6.0	0	0	6/8	4	1	I.viio7	D	I		viio7		vii	o	7					o7	False	False	(5, 2, -1, -4)	()	5	5					C#
ABC	n03op18-3_04	299	203	195	583	604	6.0	0	0	6/8	4	1	bVII7	D	I		bVII7		bVII		7					Mm7	False	False	(-2, 2, -1, -4)	()	-2	-2					C
ABC	n03op18-3_04	300	205	197	589	610	6.0	0	0	6/8	4	1	ii64	D	I		ii64		ii		64					m	False	False	(3, 2, -1)	()	2	3					B
ABC	n03op18-3_04	301	207	199	595	616	6.0	0	0	6/8	4	1	V2/bIII	D	I		V2/bIII		V		2		bIII			Mm7	False	False	(-4, -2, 2, -1)	()	-2	-4					Bb
ABC	n03op18-3_04	302	209	201	601	622	6.0	0	0	6/8	4	1	V7	D	I		V7		V		7					Mm7	False	False	(1, 5, 2, -1)	()	1	1					A
ABC	n03op18-3_04	303	211	203	607	628	6.0	0	0	6/8	4	1	i64	D	I		i64		i		64					m	False	False	(1, 0, -3)	()	0	1					A
ABC	n03op18-3_04	304	213	205	613	634	6.0	0	0	6/8	4	1	V(4)	D	I		V(4)		V			4				M	False	False	(1, 0, 2)	()	1	1					A
ABC	n03op18-3_04	305	215	207	619	640	12.0	0	0	6/8	4	1	V7	D	I		V7		V		7					Mm7	False	False	(1, 5, 2, -1)	()	1	1					A
ABC	n03op18-3_04	413	270	262	785	806	0.5	1/4	1/4	6/8	4	1	V2/IV	D	I		V2/IV		V		2		IV			Mm7	False	False	(-2, 0, 4, 1)	()	0	-2					C
ABC	n03op18-3_04	414	270	262	1571/2	1613/2	1.0	3/8	3/8	6/8	4	1	IV6	D	I		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					B
ABC	n03op18-3_04	415	270	262	1573/2	1615/2	0.5	5/8	5/8	6/8	4	1	Ger6	D	I		Ger6	Ger	vii	o	65	b3	V			Ger	False	False	(-4, 0, -3, 6)	()	6	-4					Bb
ABC	n03op18-3_04	416	271	263	787	808	3.0	0	0	6/8	4	1	V\\	D	I		V		V						\\	M	False	False	(1, 5, 2)	()	1	1					A
ABC	n03op18-3_04	430	279	271	811	832	3.0	0	0	6/8	4	1	I	D	I		I		I							M	False	False	(0, 4, 1)	()	0	0					D
ABC	n03op18-3_04	431	280	272	814	835	1.5	0	0	6/8	4	1	viio	D	I		viio		vii	o						o	False	False	(5, 2, -1)	()	5	5					C#
ABC	n03op18-3_04	432	280	272	1631/2	1673/2	1.5	3/8	3/8	6/8	4	1	viio64/IV	D	I		viio64/IV		vii	o	64		IV			o	False	False	(-2, 4, 1)	()	4	-2					C
ABC	n03op18-3_04	433	281	273	817	838	1.5	0	0	6/8	4	1	IV6	D	I		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					B
ABC	n03op18-3_04	499	317	309	925	946	1.0	0	0	6/8	4	1	v6(2)	D	I	I	v6(2)		v		6	2				m	False	False	(-2, 2, 3)	()	1	-2					C
ABC	n03op18-3_04	500	317	309	926	947	0.5	1/4	1/4	6/8	4	1	v6	D	I	I	v6		v		6					m	False	False	(-2, 2, 1)	()	1	-2					C
ABC	n03op18-3_04	501	317	309	1853/2	1895/2	1.0	3/8	3/8	6/8	4	1	#ivo6(2)	D	I	I	#ivo6(2)		#iv	o	6	2				o	False	False	(3, 0, 1)	()	6	3					B
ABC	n03op18-3_04	502	317	309	1855/2	1897/2	0.5	5/8	5/8	6/8	4	1	#ivo6	D	I	I	#ivo6		#iv	o	6					o	False	False	(3, 0, 6)	()	6	3					B
ABC	n03op18-3_04	503	318	310	928	949	1.0	0	0	6/8	4	1	#vo7(#7)	D	I	I	#vo7(#7)		#v	o	7	#7				o7	False	False	(8, 5, 2, 6)	()	8	8					A#
ABC	n03op18-3_04	504	318	310	929	950	0.5	1/4	1/4	6/8	4	1	#vo7	D	I	I	#vo7		#v	o	7					o7	False	False	(8, 5, 2, -1)	()	8	8					A#
ABC	n03op18-3_04	505	318	310	1859/2	1901/2	1.0	3/8	3/8	6/8	4	1	iiio6(2)	D	I	I	iiio6(2)		iii	o	6	2				o	False	False	(1, -2, -1)	()	4	1					A
ABC	n03op18-3_04	506	318	310	1861/2	1903/2	0.5	5/8	5/8	6/8	4	1	iiio6	D	I	I	iiio6		iii	o	6					o	False	False	(1, -2, 4)	()	4	1					A
ABC	n03op18-3_04	507	319	311	931	952	6.0	0	0	6/8	4	1	iiio6]	D	I	I	iiio6		iii	o	6					o	False	False	(1, -2, 4)	()	4	1					A
ABC	n03op18-3_04	508	321	313	937	958	6.0	0	0	6/8	4	1	iii64	D	I		iii64		iii		64					m	False	False	(5, 4, 1)	()	4	5					C#
ABC	n03op18-3_04	509	323	315	943	964	3.0	0	0	6/8	4	1	#viio2/ii	D	I		#viio2/ii		#vii	o	2		ii			o7	False	False	(-2, 7, 4, 1)	()	7	-2					C
ABC	n03op18-3_04	510	324	316	946	967	3.0	0	0	6/8	4	1	V7/ii	D	I		V7/ii		V		7		ii			Mm7	False	False	(3, 7, 4, 1)	()	3	3					B
ABC	n03op18-3_04	511	325	317	949	970	3.0	0	0	6/8	4	1	ii64	D	I		ii64		ii		64					m	False	False	(3, 2, -1)	()	2	3					B
ABC	n03op18-3_04	512	326	318	952	973	3.0	0	0	6/8	4	1	viio2	D	I		viio2		vii	o	2					o7	False	False	(-4, 5, 2, -1)	()	5	-4					Bb
ABC	n03op18-3_04	513	327	319	955	976	6.0	0	0	6/8	4	1	V[V7	D	I	V	V7		V		7					Mm7	False	False	(1, 5, 2, -1)	()	1	1					A
ABC	n04op18-4_01	170	60	59	233	233	1.0	0	0	4/4	4	1	V7	c	III		V7		V		7					Mm7	True	False	(1, 5, 2, -1)	()	1	1					Bb
ABC	n04op18-4_01	171	60	59	234	234	1.0	1/4	1/4	4/4	4	1	V(64)	c	III		V(64)		V			64				M	True	False	(1, 0, 4)	()	1	1					Bb
ABC	n04op18-4_01	172	60	59	235	235	1.0	1/2	1/2	4/4	4	1	viio7/V	c	III		viio7/V		vii	o	7		V			o7	True	False	(6, 3, 0, -3)	()	6	6					A
ABC	n04op18-4_01	173	60	59	236	236	1.0	3/4	3/4	4/4	4	1	V2	c	III		V2		V		2					Mm7	True	False	(-1, 1, 5, 2)	()	1	-1					Ab
ABC	n04op18-4_01	174	61	60	237	237	3.0	0	0	4/4	4	1	I6	c	III		I6		I		6					M	True	False	(4, 1, 0)	()	0	4					G
ABC	n04op18-4_01	458	185	183	729	733	2.0	0	0	4/4	4	1	V(64)	c	I		V(64)		V			64				M	True	False	(1, 0, 4)	()	1	1					G
ABC	n04op18-4_01	459	185	183	731	735	1.0	1/2	1/2	4/4	4	1	viio7/V	c	I		viio7/V		vii	o	7		V			o7	True	False	(6, 3, 0, -3)	()	6	6					F#
ABC	n04op18-4_01	460	185	183	732	736	1.0	3/4	3/4	4/4	4	1	viio43	c	I		viio43		vii	o	43					o7	True	False	(-1, -4, 5, 2)	()	5	-1					F
ABC	n04op18-4_01	461	186	184	733	737	3.0	0	0	4/4	4	1	I6	c	I		I6		I		6					M	True	False	(4, 1, 0)	()	0	4					E
ABC	n05op18-5_01	17	17	17	99/2	99/2	1.5	3/8	3/8	6/8	4	1	V2/IV	A	I		V2/IV		V		2		IV			Mm7	False	False	(-2, 0, 4, 1)	()	0	-2					G
ABC	n05op18-5_01	18	18	18	51	51	1.5	0	0	6/8	4	1	IV6	A	I		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					F#
ABC	n05op18-5_01	19	18	18	105/2	105/2	1.5	3/8	3/8	6/8	4	1	iv6	A	I		iv6		iv		6					m	False	False	(-4, 0, -1)	()	-1	-4					F
ABC	n05op18-5_01	20	19	19	54	54	1.5	0	0	6/8	4	1	V	A	I		V		V							M	False	False	(1, 5, 2)	()	1	1					E
ABC	n05op18-5_02	117	88	85	253	256	1.0	0	0	3/4	4	1	I6(4)	A	I		I6(4)		I		6	4				M	False	False	(-1, 1, 0)	()	0	-1					D
ABC	n05op18-5_02	118	88	85	254	257	1.0	1/4	1/4	3/4	4	1	I6	A	I		I6		I		6					M	False	False	(4, 1, 0)	()	0	4					C#
ABC	n05op18-5_02	119	88	85	255	258	1.0	1/2	1/2	3/4	4	1	V.iv6	A	V		iv6		iv		6					m	False	False	(-4, 0, -1)	()	-1	-4					C
ABC	n05op18-5_02	120	89	86	256	259	1.0	0	0	3/4	4	1	I64(4)	A	V		I64(4)		I		64	4				M	False	False	(1, 0, -1)	()	0	1					B
ABC	n05op18-5_02	121	89	86	257	260	1.0	1/4	1/4	3/4	4	1	I64	A	V		I64		I		64					M	False	False	(1, 0, 4)	()	0	1					B
ABC	n05op18-5_02	122	89	86	258	261	1.0	1/2	1/2	3/4	4	1	viio7/V	A	V		viio7/V		vii	o	7		V			o7	False	False	(6, 3, 0, -3)	()	6	6					A#
ABC	n05op18-5_03	233	145	132	525/2	537/2	1.0	0	0	2/4	4	1	V	D	I		V		V							M	False	False	(1, 5, 2)	()	1	1					A
ABC	n05op18-5_03	234	145	132	527/2	539/2	0.5	1/4	1/4	2/4	4	1	V6/V	D	I		V6/V		V		6		V			M	False	False	(6, 3, 2)	()	2	6					G#
ABC	n05op18-5_03	235	145	132	264	270	0.5	3/8	3/8	2/4	4	1	V2	D	I		V2		V		2					Mm7	False	False	(-1, 1, 5, 2)	()	1	-1					G
ABC	n05op18-5_03	236	146	133	529/2	541/2	0.5	0	0	2/4	4	1	I6	D	I		I6		I		6					M	False	False	(4, 1, 0)	()	0	4					F#
ABC	n05op18-5_04	76	38	37	291/2	291/2	4.0	0	0	2/2	4	1	viio7/V	A	V		viio7/V		vii	o	7		V			o7	False	False	(6, 3, 0, -3)	()	6	6					A#
ABC	n05op18-5_04	77	39	38	299/2	299/2	4.0	0	0	2/2	4	1	viio43	A	V		viio43		vii	o	43					o7	False	False	(-1, -4, 5, 2)	()	5	-1					A
ABC	n05op18-5_04	78	40	39	307/2	307/2	4.0	0	0	2/2	4	1	#viio7/iv	A	V		#viio7/iv		#vii	o	7		iv			o7	False	False	(4, 1, -2, -5)	()	4	4					G#
ABC	n05op18-5_04	79	41	40	315/2	315/2	2.0	0	0	2/2	4	1	viio43/bVII	A	V		viio43/bVII		vii	o	43		bVII			o7	False	False	(-3, -6, 3, 0)	()	3	-3					G
ABC	n05op18-5_04	80	41	40	319/2	319/2	2.0	1/2	1/2	2/2	4	1	bVII6	A	V		bVII6		bVII		6					M	False	False	(2, -1, -2)	()	-2	2					F#
ABC	n05op18-5_04	81	42	41	323/2	323/2	2.0	0	0	2/2	4	1	viio6	A	V		viio6		vii	o	6					o	False	False	(2, -1, 5)	()	5	2					F#
ABC	n06op18-6_02	164	40	40	79	79	0.5	1/4	1/4	2/4	4	1	ii6	Eb	I	V	ii6		ii		6					m	False	False	(-1, 3, 2)	()	2	-1					Ab
ABC	n06op18-6_02	165	40	40	159/2	159/2	0.25	3/8	3/8	2/4	4	1	I6	Eb	I	V	I6		I		6					M	False	False	(4, 1, 0)	()	0	4					G
ABC	n06op18-6_02	166	40	40	319/4	319/4	0.25	7/16	7/16	2/4	4	1	viio2/V	Eb	I	V	viio2/V		vii	o	2		V			o7	False	False	(-3, 6, 3, 0)	()	6	-3					Gb
ABC	n06op18-6_02	167	41	41	80	80	1.0	0	0	2/4	4	1	viio6]	Eb	I	V	viio6		vii	o	6					o	False	False	(2, -1, 5)	()	5	2					F
ABC	n06op18-6_03	30	10	8	49/2	49/2	0.5	1/8	1/2	3/4	4	1	vi	Bb	I		vi		vi							m	False	False	(3, 0, 4)	()	3	3					G
ABC	n06op18-6_03	31	10	8	25	25	0.5	1/4	5/8	3/4	4	1	#viio43/iii	Bb	I		#viio43/iii		#vii	o	43		iii			o7	False	False	(3, 0, 9, 6)	()	9	3					G
ABC	n06op18-6_03	32	11	9	51/2	51/2	2.5	0	0	3/4	4	1	V6/vi	Bb	I		V6/vi		V		6		vi			M	False	False	(8, 5, 4)	()	4	8					F#
ABC	n06op18-6_03	33	11	9	28	28	0.5	5/8	5/8	3/4	4	1	V.V2/V	Bb	V		V2/V		V		2		V			Mm7	False	False	(0, 2, 6, 3)	()	2	0					F
ABC	n06op18-6_03	34	12	10	57/2	57/2	2.5	0	0	3/4	4	1	V6	Bb	V		V6		V		6					M	False	False	(5, 2, 1)	()	1	5					E
ABC	n06op18-6_03	35	12	10	31	31	0.5	5/8	5/8	3/4	4	1	viio43/V	Bb	V		viio43/V		vii	o	43		V			o7	False	False	(0, -3, 6, 3)	()	6	0					F
ABC	n06op18-6_03	36	13	11	63/2	63/2	2.5	0	0	3/4	4	1	V6	Bb	V		V6		V		6					M	False	False	(5, 2, 1)	()	1	5					E
ABC	n06op18-6_03	37	13	11	34	34	1.0	5/8	5/8	3/4	4	1	V2/IV	Bb	V		V2/IV		V		2		IV			Mm7	False	False	(-2, 0, 4, 1)	()	0	-2					Eb
ABC	n06op18-6_03	38	14	12	35	35	1.0	1/8	1/8	3/4	4	1	IV6	Bb	V		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					D
ABC	n06op18-6_03	39	14	12	36	36	1.0	3/8	3/8	3/4	4	1	IV+6	Bb	V		IV+6		IV	+	6					+	False	False	(3, 7, -1)	()	-1	3					D
ABC	n06op18-6_03	108	43	41	122	122	1.0	1/8	1/8	3/4	4	1	I64	Bb	I		I64		I		64					M	False	False	(1, 0, 4)	()	0	1					F
ABC	n06op18-6_03	109	43	41	123	123	1.0	3/8	3/8	3/4	4	1	V65/V	Bb	I		V65/V		V		65		V			Mm7	False	False	(6, 3, 0, 2)	()	2	6					E
ABC	n06op18-6_03	110	43	41	124	124	1.0	5/8	5/8	3/4	4	1	V2	Bb	I		V2		V		2					Mm7	False	False	(-1, 1, 5, 2)	()	1	-1					Eb
ABC	n06op18-6_03	111	44	42	125	125	1.0	1/8	1/8	3/4	4	1	I6	Bb	I		I6		I		6					M	False	False	(4, 1, 0)	()	0	4					D
ABC	n06op18-6_04	6	7	7	12	12	2.0	0	0	2/4	4	1	I	Bb	I		I		I							M	False	False	(0, 4, 1)	()	0	0					Bb
ABC	n06op18-6_04	7	8	8	14	14	1.0	0	0	2/4	4	1	iii64	Bb	I		iii64		iii		64					m	False	False	(5, 4, 1)	()	4	5	V6(6)				A
ABC	n06op18-6_04	8	8	8	15	15	1.0	1/4	1/4	2/4	4	1	V6	Bb	I		V6		V		6					M	False	False	(5, 2, 1)	()	1	5					A
ABC	n06op18-6_04	9	9	9	16	16	2.0	0	0	2/4	4	1	#viio2/ii	Bb	I		#viio2/ii		#vii	o	2		ii			o7	False	False	(-2, 7, 4, 1)	()	7	-2					Ab
ABC	n06op18-6_04	10	10	10	18	18	1.0	0	0	2/4	4	1	V7/ii	Bb	I		V7/ii		V		7		ii			Mm7	False	False	(3, 7, 4, 1)	()	3	3					G
ABC	n06op18-6_04	11	10	10	19	19	0.875	1/4	1/4	2/4	4	1	V7(9)/ii	Bb	I		V7(9)/ii		V		7	9	ii			Mm7	False	False	(3, 7, 4, 1)	(-2,)	3	3					G
ABC	n06op18-6_04	12	10	10	159/8	159/8	0.125	15/32	15/32	2/4	4	1	V(64)/ii	Bb	I		V(64)/ii		V			64	ii			M	False	False	(3, 2, -1)	()	3	3					G
ABC	n06op18-6_04	13	11	11	20	20	0.875	0	0	2/4	4	1	V7/ii	Bb	I		V7/ii		V		7		ii			Mm7	False	False	(3, 7, 4, 1)	()	3	3					G
ABC	n06op18-6_04	14	11	11	167/8	167/8	0.125	7/32	7/32	2/4	4	1	V(64)/ii	Bb	I		V(64)/ii		V			64	ii			M	False	False	(3, 2, -1)	()	3	3					G
ABC	n06op18-6_04	15	11	11	21	21	1.0	1/4	1/4	2/4	4	1	V7/ii	Bb	I		V7/ii		V		7		ii			Mm7	False	False	(3, 7, 4, 1)	()	3	3					G
ABC	n06op18-6_04	16	12	12	22	22	2.0	0	0	2/4	4	1	#i.i64	Bb	#i		i64		i		64					m	False	True	(1, 0, -3)	()	0	1					F#
ABC	n06op18-6_04	163	92	91	158	158	0.5	1/4	1/4	3/8	4	1	V2/IV	Bb	V		V2/IV		V		2		IV			Mm7	False	False	(-2, 0, 4, 1)	()	0	-2					Eb
ABC	n06op18-6_04	164	93	92	317/2	317/2	1.5	0	0	3/8	4	1	IV6	Bb	V		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					D
ABC	n06op18-6_04	165	94	93	160	160	1.5	0	0	3/8	4	1	iv6	Bb	V		iv6		iv		6					m	False	False	(-4, 0, -1)	()	-1	-4					Db
ABC	n06op18-6_04	166	95	94	323/2	323/2	1.5	0	0	3/8	4	1	V(64)	Bb	V		V(64)		V			64				M	False	False	(1, 0, 4)	()	1	1					C
ABC	n06op18-6_04	167	96	95	163	163	1.5	0	0	3/8	4	1	V7	Bb	V		V7		V		7					Mm7	False	False	(1, 5, 2, -1)	()	1	1					C
ABC	n06op18-6_04	168	97	96	329/2	329/2	1.5	0	0	3/8	4	1	I\\	Bb	V		I		I						\\	M	False	False	(0, 4, 1)	()	0	0					F
ABC	n06op18-6_04	169	98	97	166	166	1.0	0	0	3/8	4	1	V6	Bb	V		V6		V		6					M	False	False	(5, 2, 1)	()	1	5					E
ABC	n06op18-6_04	170	98	97	167	167	0.5	1/4	1/4	3/8	4	1	V2/IV	Bb	V		V2/IV		V		2		IV			Mm7	False	False	(-2, 0, 4, 1)	()	0	-2					Eb
ABC	n06op18-6_04	171	99	98	335/2	335/2	1.5	0	0	3/8	4	1	IV6	Bb	V		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					D
ABC	n06op18-6_04	273	164	163	265	265	1.5	0	0	3/8	4	1	I\\	Bb	I		I		I						\\	M	False	False	(0, 4, 1)	()	0	0					Bb
ABC	n06op18-6_04	274	165	164	533/2	533/2	1.0	0	0	3/8	4	1	V6	Bb	I		V6		V		6					M	False	False	(5, 2, 1)	()	1	5					A
ABC	n06op18-6_04	275	165	164	535/2	535/2	0.5	1/4	1/4	3/8	4	1	V2/IV	Bb	I		V2/IV		V		2		IV			Mm7	False	False	(-2, 0, 4, 1)	()	0	-2					Ab
ABC	n06op18-6_04	276	166	165	268	268	1.5	0	0	3/8	4	1	IV6	Bb	I		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					G
