quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	0.5	1	0	0	5/8	6/8	2	1	a.i		a	i		i	i							m	1	1	0, -3, 1		0	0
1/2	2.5	2	1	0	0	6/8	2	1	iv6	VI	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	0.5	2	1	5/8	5/8	6/8	2	1	V	III6	a	i		V	V							M	1	1	1, 5, 2		1	1
7/2	2.5	3	2	0	0	6/8	2	1	V64(#6b5)/V		a	i		V64(#6b5)/V	V		64	#6b5	V			M	1	1	-4, 2, 6	12	2	-4
6	0.5	3	2	5/8	5/8	6/8	2	1	V43(b5)/V		a	i		V43(b5)/V	V		43	b5	V			Mm7	1	1	-4, 0, 2, 6		2	-4
13/2	0.5	4	3	0	0	6/8	2	1	V7(#4)		a	i		V7(#4)	V		7	#4				Mm7	1	1	1, 5, 7, -1		1	1
7	5.0	4	3	1/8	1/8	6/8	2	1	V7\\		a	i		V7	V		7				\\	Mm7	1	1	1, 5, 2, -1		1	1
12	0.5	5	4	5/8	5/8	6/8	2	1	V64		a	i		V64	V		64					M	1	1	2, 1, 5		1	2
25/2	2.5	6	5	0	0	6/8	2	1	V6		a	i		V6	V		6					M	1	1	5, 2, 1		1	5
15	0.5	6	5	5/8	5/8	6/8	2	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
31/2	2.5	7	6	0	0	6/8	2	1	V64(6b5)/VII		a	i		V64(6b5)/VII	V		64	6b5	VII			M	1	1	-7, 2, -1, 3		-1	-7
18	0.5	7	6	5/8	5/8	6/8	2	1	V43(b5)/VII		a	i		V43(b5)/VII	V		43	b5	VII			Mm7	1	1	-7, -3, -1, 3		-1	-7
37/2	0.5	8	7	0	0	6/8	2	1	V7(#4)/III		a	i		V7(#4)/III	V		7	#4	III			Mm7	1	1	-2, 2, 4, -4		-2	-2
19	3.5	8	7	1/8	1/8	6/8	2	1	V7/III\\		a	i		V7/III	V		7		III		\\	Mm7	1	1	-2, 2, -1, -4		-2	-2
45/2	0.5	9	8	1/4	1/4	6/8	2	1	VII64		a	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
23	2.0	9	8	3/8	3/8	6/8	2	1	VII6		a	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
25	1.5	10	9	1/8	1/8	6/8	2	1	vii6		a	i		vii6	vii		6					m	1	1	-5, -1, -2		-2	-5
53/2	1.0	10	9	1/2	1/2	6/8	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
55/2	2.5	11	10	0	0	6/8	2	1	#viio65(4)		a	i		#viio65(4)	#vii	o	65	4				o7	1	1	-3, -1, -4, 5		5	-3
30	0.5	11	10	5/8	5/8	6/8	2	1	V64(6)		a	i		V64(6)	V		64	6				M	1	1	-3, 1, 5		1	-3
61/2	0.5	12	11	0	0	6/8	2	1	V7(#4)/V		a	i		V7(#4)/V	V		7	#4	V			Mm7	1	1	2, 6, 8, 0		2	2
31	2.5	12	11	1/8	1/8	6/8	2	1	V7/V\\		a	i		V7/V	V		7		V		\\	Mm7	1	1	2, 6, 3, 0		2	2
67/2	2.5	13	12	0	0	6/8	2	1	#viio65(4)		a	i		#viio65(4)	#vii	o	65	4				o7	1	1	-3, -1, -4, 5		5	-3
36	0.5	13	12	5/8	5/8	6/8	2	1	V64(6)		a	i		V64(6)	V		64	6				M	1	1	-3, 1, 5		1	-3
73/2	0.5	14	13	0	0	6/8	2	1	V7(#4)/V		a	i		V7(#4)/V	V		7	#4	V			Mm7	1	1	2, 6, 8, 0		2	2
