quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	1	0	0	4/4	2	1	C.I		C	I		I	I							M	0	0	0, 4, 1		0	0
2	3.0	1	1	1/2	1/2	4/4	2	1	IM2		C	I		IM2	I	M	2					MM7	0	0	5, 0, 4, 1		0	5
5	2.0	2	2	1/4	1/4	4/4	2	1	vi7		C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
7	1.0	2	2	3/4	3/4	4/4	2	1	V7/ii		C	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
8	1.0	3	3	0	0	4/4	2	1	V2(6)/ii		C	I		V2(6)/ii	V		2	6	ii			Mm7	0	0	1, 3, 7, -1		3	1
9	1.0	3	3	1/4	1/4	4/4	2	1	V2		C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	1.0	3	3	1/2	1/2	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	1.0	3	3	3/4	3/4	4/4	2	1	V43		C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
12	1.0	4	4	0	0	4/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
13	0.5	4	4	1/4	1/4	4/4	2	1	IV64		C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
27/2	0.5	4	4	3/8	3/8	4/4	2	1	IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
14	0.5	4	4	1/2	1/2	4/4	2	1	vii%7(9)		C	I		vii%7(9)	vii	%	7	9				%7	0	0	5, 2, -1, 3	0	5	5
29/2	0.5	4	4	5/8	5/8	4/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
15	0.5	4	4	3/4	3/4	4/4	2	1	V43		C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
31/2	0.5	4	4	7/8	7/8	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
16	1.0	5	5	0	0	4/4	2	1	ii65		C	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
17	1.5	5	5	1/4	1/4	4/4	2	1	vii%65		C	I		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
