piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	P86 (composer)	originalFormat	imslp	wikidata	musicbrainz	viaf	pdf	P86 (composer).1	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
WWV090_Tristan_01_Vorspiel-Prelude_Ricordi1888Floridia	1: 6/8	1: 0, 44: 3, 72: 0	112	111	333.5	112	111	333.5	1224.5	1676	896	0	0	360	a	2.1.0	Adrian Nagel	1854	1859	https://en.wikipedia.org/wiki/Tristan_und_Isolde	Richard Wagner	Tristan und Isolde		Prelude	WWV 90					2019-11-01	3.02	Linux			Prelude	from: Tristan und Isolde	Richard Wagner	3.6.2	2.5.2	MS3	MS3/WWV090_Tristan_01_Vorspiel-Prelude_Ricordi1888Floridia.mscx	False	29-93 (F1-A6)	Q1511	xml	https://imslp.org/wiki/Tristan_und_Isolde,_WWV_90_(Wagner,_Richard)	https://www.wikidata.org/wiki/Q1324254	https://musicbrainz.org/work/52836ec3-2272-37cd-a4af-20ab3bf56b88	https://viaf.org/viaf/180184935/	https://imslp.org/wiki/Special:ReverseLookup/21459	Q1511	41-93 (F2-A6)	Piano (2)	29-77 (F1-F5)	Piano (2)
WWV096-Meistersinger_01_Vorspiel-Prelude_SchottKleinmichel	1: 4/4	1: 0, 97: 4, 109: 3, 118: 0, 122: -3, 151: 0	222	222	888.0	222	222	888.0	3727.25	5380	2415	0	0	1075	C	2.1.0	Adrian Nagel	1845	1867	https://en.wikipedia.org/wiki/Die_Meistersinger_von_N%C3%BCrnberg	Richard Wagner	Die Meistersinger von Nürnberg		Prelude	WWV 96					2019-09-15	3.02	Linux			Prelude	from: Die Meistersinger von Nürnberg	Richard Wagner	3.6.2	2.5.2	MS3	MS3/WWV096-Meistersinger_01_Vorspiel-Prelude_SchottKleinmichel.mscx	False	26-96 (D1-C7)	Q1511	xml	https://imslp.org/wiki/Die_Meistersinger_von_N%C3%BCrnberg%2C_WWV_96_(Wagner%2C_Richard)	https://www.wikidata.org/wiki/Q465540	https://musicbrainz.org/work/6b198406-4fbf-3d61-82db-0b7ef195a7fe	https://viaf.org/viaf/59819198	https://imslp.org/wiki/Special:ReverseLookup/515499	Q1511	57-96 (A3-C7)	Piano	26-81 (D1-A5)	Piano
