chord	('medtner_tales', 'minor')	('beethoven_piano_sonatas', 'major')	('ABC', 'major')	('mendelssohn_quartets', 'major')	('grieg_lyric_pieces', 'major')	('medtner_tales', 'major')	('mendelssohn_quartets', 'minor')	('liszt_pelerinage', 'major')	('bach_en_fr_suites', 'minor')	('ABC', 'minor')	('grieg_lyric_pieces', 'minor')	('beethoven_piano_sonatas', 'minor')	('bartok_bagatelles', 'major')	('chopin_mazurkas', 'major')	('scarlatti_sonatas', 'major')	('scarlatti_sonatas', 'minor')	('chopin_mazurkas', 'minor')	('mozart_piano_sonatas', 'major')	('bach_en_fr_suites', 'major')	('kleine_geistliche_konzerte', 'minor')	('rachmaninoff_piano', 'minor')	('liszt_pelerinage', 'minor')	('frescobaldi_fiori_musicali', 'minor')	('corelli', 'minor')	('wagner_overtures', 'major')	('bach_solo', 'minor')	('bach_solo', 'major')	('corelli', 'major')	('kozeluh_sonatas', 'major')	('kleine_geistliche_konzerte', 'major')	('peri_euridice', 'major')	('debussy_suite_bergamasque', 'minor')	('wf_bach_sonatas', 'major')	('c_schumann_lieder', 'major')	('jc_bach_sonatas', 'major')	('bartok_bagatelles', 'minor')	('ravel_piano', 'major')	('schulhoff_suite_dansante_en_jazz', 'major')	('frescobaldi_fiori_musicali', 'major')	('tchaikovsky_seasons', 'major')	('schubert_winterreise', 'minor')	('kozeluh_sonatas', 'minor')	('schubert_winterreise', 'major')	('couperin_concerts', 'minor')	('mozart_piano_sonatas', 'minor')	('monteverdi_madrigals', 'minor')	('mahler_kindertotenlieder', 'minor')	('jc_bach_sonatas', 'minor')	('wagner_overtures', 'minor')	('peri_euridice', 'minor')	('dvorak_silhouettes', 'major')	('schumann_liederkreis', 'major')	('tchaikovsky_seasons', 'minor')	('wf_bach_sonatas', 'minor')	('couperin_clavecin', 'minor')	('couperin_concerts', 'major')	('pergolesi_stabat_mater', 'minor')	('schumann_kinderszenen', 'major')	('monteverdi_madrigals', 'major')	('pleyel_quartets', 'major')	('couperin_clavecin', 'major')	('pleyel_quartets', 'minor')	('debussy_suite_bergamasque', 'major')	('mahler_kindertotenlieder', 'major')	('ravel_piano', 'minor')	('sweelinck_keyboard', 'minor')	('rachmaninoff_piano', 'major')	('schumann_liederkreis', 'minor')	('dvorak_silhouettes', 'minor')	('poulenc_mouvements_perpetuels', 'major')	('schulhoff_suite_dansante_en_jazz', 'minor')	('pergolesi_stabat_mater', 'major')	('schumann_kinderszenen', 'minor')	('c_schumann_lieder', 'minor')	('handel_keyboard', 'major')	('poulenc_mouvements_perpetuels', 'minor')	sum
V7/V	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	True	False	True	False	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False	True	True	True	False	True	False	True	False	62
V2	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	False	True	True	True	True	True	True	True	True	False	True	False	False	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	False	True	True	True	False	False	True	False	True	True	False	62
ii	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	False	True	False	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	False	True	False	False	False	True	False	True	False	False	True	False	62
IV6	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	False	True	False	False	True	False	False	True	False	False	True	False	61
i6	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	True	True	False	False	False	True	False	True	True	False	False	False	True	True	False	False	60
iv	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	True	True	True	False	False	True	False	True	False	True	False	True	True	False	False	False	True	True	False	True	60
iv6	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True	False	False	False	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	False	False	True	True	True	True	False	False	True	False	True	False	False	58
v	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	True	True	True	True	True	True	True	True	False	True	False	True	False	True	True	True	True	True	True	False	True	False	False	False	True	True	False	True	False	False	False	False	False	True	False	True	58
V/V	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True	True	True	True	True	False	True	True	True	False	True	False	False	True	True	True	True	True	True	False	True	False	True	True	False	True	False	False	True	False	False	True	False	False	True	False	58
I6	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	True	True	True	True	False	False	False	True	True	True	False	False	False	True	False	True	True	True	True	False	True	True	False	True	True	False	False	False	False	True	False	False	True	False	57
V64	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	False	True	True	True	True	True	True	True	False	False	True	True	False	True	False	True	False	True	True	False	True	True	True	False	True	True	True	True	True	True	False	True	False	False	False	False	False	False	False	57
ii6	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	False	True	True	False	True	True	True	True	True	False	False	False	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False	False	False	True	False	False	True	False	56
V(6)	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	False	True	False	True	True	False	True	True	True	True	True	False	False	True	False	False	False	True	True	True	True	False	True	False	True	True	True	True	False	True	False	True	False	False	False	True	True	True	False	True	True	False	False	False	55
ii65	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	False	True	False	True	True	True	True	True	True	False	False	False	True	True	False	False	False	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False	False	True	False	False	True	False	54
v6	True	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	False	True	True	False	False	True	False	True	True	True	True	True	True	False	True	True	True	False	False	False	True	True	True	True	False	True	False	False	False	False	False	True	True	True	True	False	False	False	True	True	True	False	True	54
ii7	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	True	True	False	True	True	True	True	True	False	False	False	False	True	True	False	False	True	True	True	True	True	True	True	False	True	True	False	False	True	False	False	True	False	False	False	False	True	False	53
iio6	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	False	True	True	False	True	False	True	False	False	False	True	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	True	True	True	False	False	True	False	True	False	True	False	True	True	False	False	False	True	True	False	True	52
ii%65	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	False	False	False	False	False	True	False	True	False	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True	True	True	False	False	False	False	True	False	True	False	True	False	True	True	False	False	False	True	True	False	True	52
VI	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True	False	True	True	True	True	True	False	True	True	True	False	True	False	True	False	False	False	True	False	False	True	False	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	True	False	False	True	False	False	True	True	False	True	True	False	False	False	True	True	False	False	50
V7(4)	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True	True	False	False	True	True	True	True	False	True	False	False	True	False	True	True	False	True	True	False	False	False	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	49
vi	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	False	True	True	False	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	False	True	False	True	True	False	True	True	True	False	False	False	False	False	False	True	True	False	False	False	True	False	True	True	True	True	False	True	True	False	False	True	False	False	True	False	True	False	False	True	False	49
I64	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	True	False	True	True	True	True	False	True	True	True	True	False	True	False	True	True	False	False	True	False	True	True	True	False	False	False	True	True	False	False	False	True	False	True	True	True	True	False	True	True	False	True	True	False	False	False	False	False	False	False	False	False	48
viio6/V	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	True	True	True	False	False	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	False	True	True	False	True	True	False	True	True	False	True	True	True	False	False	True	True	False	True	False	False	True	True	True	False	False	False	False	True	False	False	False	False	False	False	True	False	True	False	48
V65/V	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	True	True	False	False	True	False	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True	False	True	True	True	True	False	True	True	False	False	True	True	False	True	True	True	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	48
viio7/V	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	False	False	True	False	True	True	True	True	True	True	False	False	False	True	True	True	False	False	False	False	True	True	True	True	True	True	False	False	True	True	False	False	True	True	True	False	False	True	True	False	True	False	True	False	True	False	False	False	True	True	False	False	True	False	True	False	False	47
III	True	True	True	True	False	False	True	True	True	True	True	True	True	True	False	True	True	True	False	True	True	True	True	True	False	True	True	False	False	False	False	True	False	True	True	True	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	False	True	False	False	False	False	True	False	False	True	True	False	True	True	False	False	False	True	False	False	False	47
ii%43	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	True	True	True	False	True	False	False	True	False	True	False	False	True	True	True	False	False	False	False	False	True	True	True	True	True	True	False	True	False	True	False	True	False	True	True	True	False	False	True	False	False	False	True	False	False	False	True	False	True	True	False	False	True	False	True	False	True	46
V7/IV	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	True	True	True	False	False	True	True	False	True	False	False	False	False	True	True	False	False	False	True	False	True	False	True	True	False	True	True	False	False	False	True	False	False	True	False	False	False	False	False	46
V7(9)	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	False	True	False	False	True	False	False	False	True	False	False	False	False	True	False	True	True	True	False	True	True	True	True	True	False	False	True	False	True	False	True	True	True	True	True	False	False	True	False	False	True	False	False	True	True	False	False	True	True	False	False	True	True	False	False	False	45
iii	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	False	True	True	True	True	False	False	True	False	True	False	True	True	True	True	True	True	False	True	True	False	True	False	True	True	True	False	True	False	False	False	True	False	False	False	True	True	False	False	False	True	False	True	True	True	True	False	True	False	False	False	True	False	False	True	False	False	False	False	True	False	44
V2/V	True	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True	False	False	True	True	True	True	False	False	False	True	True	False	True	True	True	False	False	False	False	False	False	True	True	True	True	False	True	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	True	True	False	44
i64	True	True	True	True	True	False	True	True	True	True	True	True	False	False	False	True	True	True	True	True	True	True	True	True	False	True	True	False	False	False	False	True	True	False	False	False	True	False	False	False	True	True	True	True	True	True	True	True	False	True	False	False	True	True	False	False	True	False	False	False	False	True	True	False	True	True	False	True	True	False	False	False	False	True	False	False	44
V6/V	True	True	True	True	False	True	True	True	True	True	False	True	False	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	False	True	True	True	True	True	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	True	True	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	43
IV64	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	False	True	True	False	True	True	True	True	True	True	False	True	True	True	True	False	True	False	True	False	True	False	True	True	False	False	False	False	False	False	True	False	False	False	False	True	False	True	False	False	False	False	True	False	False	True	True	False	False	False	False	False	False	False	True	False	43
viio/V	True	True	True	True	False	True	True	True	True	True	False	True	False	True	True	True	False	True	True	False	False	True	False	False	True	True	True	True	True	True	True	True	True	False	True	False	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	True	True	True	False	False	True	False	False	True	False	True	False	False	False	True	False	False	True	False	False	True	False	False	False	False	42
iii6	True	True	True	True	True	True	True	True	False	True	True	True	False	True	True	True	True	True	True	False	False	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	False	True	True	True	False	False	False	False	True	False	False	False	False	True	False	False	False	False	True	False	False	True	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False	True	False	42
V7/ii	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	False	True	True	True	True	True	False	False	True	True	True	True	True	True	True	False	True	True	True	False	False	False	False	True	True	True	True	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	False	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	42
ii%7	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	False	True	False	True	True	True	False	True	False	True	True	False	False	True	False	True	False	False	True	False	False	False	True	True	False	True	True	False	True	False	True	False	True	False	True	True	True	False	False	True	False	False	False	True	False	True	True	False	False	False	True	False	False	False	False	True	False	False	42
viio6	True	True	True	True	True	True	False	True	False	True	False	True	True	True	True	True	False	True	True	False	False	False	False	True	True	False	True	True	True	True	True	False	True	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	True	True	False	False	False	True	True	True	True	True	True	False	True	False	False	False	False	False	True	False	False	True	False	False	True	False	41
iv7	True	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	True	True	True	False	True	False	True	False	False	False	True	False	False	False	True	False	False	False	False	True	True	False	True	True	True	False	True	False	True	False	False	True	True	True	True	True	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	True	False	False	False	41
III6	True	True	True	False	False	True	True	True	True	True	True	True	False	True	False	True	True	True	False	True	True	True	True	True	False	True	True	False	False	False	False	True	False	True	True	False	False	False	False	False	True	True	False	True	True	True	False	True	True	True	False	False	False	True	True	True	True	False	True	False	False	True	False	True	False	True	False	True	False	False	False	False	False	False	False	False	41
VI6	True	True	False	True	False	True	True	True	True	True	True	True	False	False	False	True	True	True	True	True	True	True	True	True	False	True	True	False	False	True	False	True	True	False	False	False	False	False	False	False	True	True	False	True	True	True	True	True	False	False	False	False	True	True	True	False	True	False	True	False	False	True	False	False	False	True	False	True	True	False	False	False	False	True	False	False	41
I(4)	False	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	False	True	False	True	True	True	True	True	False	True	True	True	False	False	False	True	True	False	False	True	False	False	False	False	False	False	True	False	True	True	False	False	True	False	False	True	True	True	False	False	False	False	True	True	False	False	False	False	True	False	False	False	False	41
V7/III	True	True	False	True	True	True	True	True	True	True	True	True	False	True	False	True	True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	True	False	True	False	False	False	False	False	True	True	True	True	True	True	True	False	True	True	False	True	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	True	True	False	False	40
vi6	False	True	True	True	True	True	False	True	False	True	False	True	True	True	True	True	True	True	True	False	False	False	False	True	True	False	True	True	True	True	True	True	True	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	True	True	False	False	False	True	False	True	True	True	False	False	True	False	False	False	True	False	False	False	False	True	False	False	True	False	40
ii2	False	True	True	True	True	True	True	True	False	True	False	True	False	True	True	False	False	True	True	False	False	False	False	True	True	False	True	True	True	False	False	True	True	True	True	False	True	True	False	True	False	False	True	True	False	False	False	False	False	False	True	True	False	False	True	True	True	True	False	False	True	False	True	True	False	False	True	False	False	True	False	True	False	False	False	False	39
V43/V	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	True	True	True	True	False	True	True	False	False	True	True	True	True	True	False	False	True	True	True	True	False	False	False	True	True	False	True	True	True	False	False	False	True	False	False	True	True	False	False	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	39
iio	True	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	True	False	True	True	True	False	True	False	False	True	False	True	True	True	False	True	False	False	True	False	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	39
ii64	False	True	True	True	True	True	False	True	True	True	True	False	False	True	True	False	True	True	True	True	False	True	True	False	True	False	True	True	True	True	False	True	True	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	True	False	False	True	False	True	True	False	False	False	True	False	False	True	True	False	False	False	False	True	False	False	False	False	38
V7/iv	True	True	True	False	True	True	True	True	True	True	True	True	False	False	True	True	True	False	False	True	True	True	True	True	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	True	True	False	True	True	True	True	True	True	False	False	False	True	True	True	False	True	False	False	False	False	True	False	False	False	True	False	True	False	False	False	False	False	False	False	True	38
V/ii	True	True	True	True	False	True	False	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	False	True	False	True	True	True	True	True	False	True	False	True	False	False	False	True	False	False	False	True	False	False	False	False	False	True	True	True	True	False	False	False	True	False	True	True	True	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	38
iv64	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	False	False	True	True	True	True	True	True	False	False	True	False	False	True	False	True	False	False	False	False	False	False	True	True	True	True	True	True	True	True	False	False	False	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	True	False	False	False	38
V(9)	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	True	False	True	True	False	False	True	True	False	True	False	True	False	False	False	False	False	True	True	False	True	False	True	True	True	False	True	True	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	38
V2/IV	False	True	True	True	True	True	True	True	True	True	False	True	False	True	False	True	False	True	True	False	False	True	True	False	True	False	True	True	True	True	True	True	True	True	True	False	True	False	False	True	False	False	True	False	True	False	False	False	False	False	True	True	False	False	False	True	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	37
viio	True	True	True	True	True	True	True	True	False	True	False	True	False	True	True	True	False	True	True	False	False	False	False	True	True	False	True	True	True	True	True	False	True	False	True	False	True	False	True	False	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	True	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	36
V7/vi	True	True	True	True	True	True	False	True	False	True	False	True	True	True	True	False	False	True	True	False	False	False	True	True	True	False	True	True	True	True	True	False	True	True	True	False	True	True	True	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	True	False	True	False	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	36
V7(6)	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	False	True	True	False	False	False	True	False	False	True	False	False	False	True	False	False	False	False	True	False	False	True	True	False	True	True	True	True	True	False	False	False	False	False	False	True	True	True	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	True	True	False	False	True	True	False	False	36
V65/IV	False	True	True	True	False	True	True	False	True	True	False	True	False	True	True	False	False	True	True	True	False	False	True	False	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	True	True	False	False	False	False	False	False	True	True	False	True	False	True	False	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	35
IV(9)	True	True	True	True	False	True	True	True	True	False	True	False	True	True	True	False	False	True	True	True	False	False	True	True	True	False	True	True	True	True	True	False	True	True	True	False	True	False	True	False	False	False	False	True	False	True	False	False	False	False	True	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	35
VII	True	False	True	False	True	False	True	False	True	True	True	True	False	False	False	True	True	False	False	True	True	False	True	True	False	True	False	False	True	False	False	True	False	False	False	True	False	False	False	False	True	True	False	True	True	True	True	False	True	True	False	True	False	True	False	False	True	False	True	False	False	True	False	False	False	True	False	True	True	False	False	False	False	False	False	False	34
ii%2	True	True	True	True	True	False	True	True	True	True	True	True	False	True	False	True	True	True	False	False	False	True	True	True	False	True	False	False	False	False	False	True	True	True	False	False	False	False	False	True	True	True	False	True	True	False	True	True	False	False	True	False	True	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	34
I(9)	False	True	True	True	True	True	False	True	False	False	True	False	True	True	True	False	True	True	True	False	False	False	True	True	True	False	False	True	True	False	True	False	True	True	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True	False	False	False	False	False	False	True	True	False	False	True	False	False	False	False	34
