key_regions	globalkey	localkey	length	length_norepeat	n_stepwise	%_stepwise	n_ascending	n_descending	bd	stepwise_bd	stepwise_chords	ascending_bd	ascending_chords	descending_bd	descending_chords	ixa	ixb
1	F	I	46	31	11	35.5	9	2	1 5 1 6 7 1 6 4 5 1 5 1 6 #5 #1 4 5 1 #4 5 1 4 5 1 3 2 3 4 #5 6 #4	['6 7 1', '4 5 5', '6 #5 #5', '4 4 5 5 5', '#4 #4 5 5', '4 4 5', '3 2 2 3 3 4 4 4', '#5 6']	['IV6 V65 I', 'ii6 V(64) V', 'IV6 #viio7(6)/vi #viio7/vi', 'ii6(11#7b6) ii6 V(64) V(6) V7', 'viio7(b4)/V viio7/V V7(4) V7', 'ii6(9#4) ii6 V7', 'I6 V64 V43 I6(6) I6 V2(6) V2 V2', 'V65/vi vi']	['6 7 1', '4 5 5', '4 4 5 5 5', '#4 #4 5 5', '4 4 5', '2 2 3 3 4 4 4', '#5 6']	['IV6 V65 I', 'ii6 V(64) V', 'ii6(11#7b6) ii6 V(64) V(6) V7', 'viio7(b4)/V viio7/V V7(4) V7', 'ii6(9#4) ii6 V7', 'V64 V43 I6(6) I6 V2(6) V2 V2', 'V65/vi vi']	['6 #5 #5', '3 2 2']	['IV6 #viio7(6)/vi #viio7/vi', 'I6 V64 V43']	('ABC', 'n01op18-1_01', 0)	('ABC', 'n01op18-1_01', 45)
2	F	v	22	11	7	63.6	7	0	1 6 7 1 2 3 4 #4 5 1 5	['6 7 1 1 1 2 3 4 #4 5 5 5 5 5 5 5 5 5']	['VI V43/VI VI6(6) VI6 viio65/VII #viio65 i6 iio6 viio7/V V V(64) V V(64) V V(64) V V(64) V']	['6 7 1 1 1 2 3 4 #4 5 5 5 5 5 5 5 5 5']	['VI V43/VI VI6(6) VI6 viio65/VII #viio65 i6 iio6 viio7/V V V(64) V V(64) V V(64) V V(64) V']	[]	[]	('ABC', 'n01op18-1_01', 46)	('ABC', 'n01op18-1_01', 67)
3	F	V	75	60	30	50.0	14	16	5 2 5 4 3 2 1 7 #5 b2 1 6 2 5 2 5 7 1 2 3 4 7 1 #4 5 1 2 3 7 4 5 1 3 2 7 1 4 3 2 7 1 #4 5 1 3 2 7 1 4 3 2 7 1 b6 #4 4 3 2 5 1	['5 4 3 2 1 7 7 7', 'b2 1', '7 1 2 3 4 4', '7 1', '#4 5 5', '1 1 2 3', '4 5 5', '3 2', '7 1', '4 3 2', '7 1', '#4 5 5', '3 2', '7 1', '4 3 2', '7 1', 'b6 #4 4 3 2']	['V V2 I6 viio6 I viio(64) viio viio', 'viio64/vi vi6', 'V65 I V43 I6 viio43(2) viio43', 'viio7 i', 'viio7/V V(b64) V7', 'I I V43 #viio65/ii', 'ii6 V V7', 'I6 V64', 'viio I', 'IV I6 viio6', 'viio I', 'V65/V V(64) V7', 'I6 viio6', 'viio I', 'IV I6 viio6', 'viio i', 'bVI viio7/V Ger6/vi vi64 ii']	['7 1 2 3 4 4', '7 1', '#4 5 5', '1 1 2 3', '4 5 5', '7 1', '7 1', '#4 5 5', '7 1', '7 1']	['V65 I V43 I6 viio43(2) viio43', 'viio7 i', 'viio7/V V(b64) V7', 'I I V43 #viio65/ii', 'ii6 V V7', 'viio I', 'viio I', 'V65/V V(64) V7', 'viio I', 'viio i']	['5 4 3 2 1 7 7 7', 'b2 1', '3 2', '4 3 2', '3 2', '4 3 2', 'b6 #4 4 3 2']	['V V2 I6 viio6 I viio(64) viio viio', 'viio64/vi vi6', 'I6 V64', 'IV I6 viio6', 'I6 viio6', 'IV I6 viio6', 'bVI viio7/V Ger6/vi vi64 ii']	('ABC', 'n01op18-1_01', 68)	('ABC', 'n01op18-1_01', 146)
4	F	III	1	1	0	0.0	0	0	1	[]	[]	[]	[]	[]	[]	('ABC', 'n01op18-1_01', 147)	('ABC', 'n01op18-1_01', 147)
5	F	IV	6	6	2	33.3	2	0	1 5 1 6 7 1	['6 7']	['IV6 viio']	['6 7']	['IV6 viio']	[]	[]	('ABC', 'n01op18-1_01', 148)	('ABC', 'n01op18-1_01', 153)
6	F	vi	11	10	7	70.0	5	2	#7 2 #7 1 2 3 4 3 4 3	['#7 1 2 3 4 3 4']	['#viio7 i #viio65 i6 #viio43 i6 #viio43']	['#7 1 2 3 4', '3 4']	['#viio7 i #viio65 i6 #viio43', 'i6 #viio43']	['4 3', '4']	['#viio43 i6', '#viio43']	('ABC', 'n01op18-1_01', 154)	('ABC', 'n01op18-1_01', 164)
7	F	ii	10	10	8	80.0	6	2	6 #7 1 #1 2 3 4 3 4 3	['#7 1 #1 2 3 4 3 4']	['#viio7 VI6 V65/ii #viio65 i6 #viio43 i6 #viio43']	['#7 1 #1 2 3 4', '3 4']	['#viio7 VI6 V65/ii #viio65 i6 #viio43', 'i6 #viio43']	['4 3', '4']	['#viio43 i6', '#viio43']	('ABC', 'n01op18-1_01', 166)	('ABC', 'n01op18-1_01', 176)
8	F	v	12	12	9	75.0	5	4	6 5 #7 1 #1 2 4 3 2 3 2 3	['6 5', '#7 1 #1 2', '4 3 2 3 2']	['#viio2 V2/ii', '#viio7 VI6 #viio/ii V43', 'iio6 VIM43 #viio65 i6 #viio65']	['#7 1 #1 2', '2 3', '2']	['#viio7 VI6 #viio/ii V43', '#viio65 i6', '#viio65']	['6 5', '4 3 2', '3 2']	['#viio2 V2/ii', 'iio6 VIM43 #viio65', 'i6 #viio65']	('ABC', 'n01op18-1_01', 178)	('ABC', 'n01op18-1_01', 190)
9	F	i	4	4	3	75.0	1	2	4 3 4 3	['4 3 4']	['#viio43 i6 #viio43']	['3 4']	['i6 #viio43']	['4 3', '4']	['#viio43 i6', '#viio43']	('ABC', 'n01op18-1_01', 191)	('ABC', 'n01op18-1_01', 194)
10	F	iv	11	11	5	45.5	1	4	b4 3 b4 3 1 6 3 1 6 5 #4	['b4 3 b4 3', '6 5']	['viio43 i6 viio43 i6', 'VI i64']	['3 b4']	['i6 viio43']	['b4 3', 'b4 3', '6 5']	['viio43 i6', 'viio43 i6', 'VI i64']	('ABC', 'n01op18-1_01', 195)	('ABC', 'n01op18-1_01', 205)
