key_regions	globalkey	localkey	length	length_norepeat	n_stepwise	%_stepwise	n_ascending	n_descending	bd	stepwise_bd	stepwise_chords	ascending_bd	ascending_chords	descending_bd	descending_chords	ixa	ixb
11	F	i	8	8	2	25.0	0	2	1 3 6 3 1 6 5 #4	['6 5']	['VI i64']	[]	[]	['6 5']	['VI i64']	('ABC', 'n01op18-1_01', 206)	('ABC', 'n01op18-1_01', 213)
12	F	I	21	14	3	21.4	3	0	5 7 2 5 1 5 1 6 7 1 6 4 5 3	['6 7 1', '4 5 5']	['IV6 V65 I', 'ii6 V(64) V']	['6 7 1', '4 5 5']	['IV6 V65 I', 'ii6 V(64) V']	[]	[]	('ABC', 'n01op18-1_01', 214)	('ABC', 'n01op18-1_01', 235)
13	F	bVI	20	17	4	23.5	4	0	6 4 2 5 1 6 4 5 6 4 2 3 6 4 2 3 1	['4 5 5 6', '2 3 3', '2 3']	['ii6 V(64) V vi', 'ii V(64)/vi V/vi', 'ii I6']	['4 5 5 6', '2 3 3', '2 3']	['ii6 V(64) V vi', 'ii V(64)/vi V/vi', 'ii I6']	[]	[]	('ABC', 'n01op18-1_01', 236)	('ABC', 'n01op18-1_01', 255)
14	F	bII	10	6	2	33.3	2	0	1 2 3 7 5 1	['1 1 2 3 3']	['I I V43 I6(6) I6']	['1 1 2 3 3']	['I I V43 I6(6) I6']	[]	[]	('ABC', 'n01op18-1_01', 256)	('ABC', 'n01op18-1_01', 265)
15	F	i	17	16	5	31.2	1	4	1 #7 1 7 6 5 1 5 1 5 1 5 1 5 1 5	['1 #7 1 7 6 5']	['iv64 V65 i v6 Ger6 V']	['#7 1']	['V65 i']	['1 #7', '1 7 6 5']	['iv64 V65', 'i v6 Ger6 V']	('ABC', 'n01op18-1_01', 266)	('ABC', 'n01op18-1_01', 282)
16	F	I	10	8	5	62.5	0	5	5 2 5 4 3 2 1 7	['5 4 3 2 1 7 7']	['V V2 I6 V64 I viio(64) viio']	[]	[]	['5 4 3 2 1 7 7']	['V V2 I6 V64 I viio(64) viio']	('ABC', 'n01op18-1_01', 283)	('ABC', 'n01op18-1_01', 294)
17	F	V	7	6	1	16.7	0	1	#1 5 4 2 5 1	['5 4']	['V2/ii ii6']	[]	[]	['5 4']	['V2/ii ii6']	('ABC', 'n01op18-1_01', 295)	('ABC', 'n01op18-1_01', 301)
18	F	I	101	85	44	51.8	31	13	2 5 7 1 2 3 4 7 1 #4 5 1 2 3 4 2 5 1 2 7 1 4 3 2 7 1 4 5 1 2 7 1 4 3 2 7 1 6 #4 4 3 2 5 1 3 4 3 5 1 4 b7 6 2 5 2 3 #4 5 6 7 6 #4 2 5 1 4 7 5 #5 6 7 #1 2 3 #4 5 1 b6 5 b6 5 4 1 b6 1	['7 1 2 3 4 4', '7 1', '#4 5 5', '1 1 2 3 3 4', '1 2', '7 1', '4 3 2', '7 1', '4 5 5', '1 2', '7 1', '4 3 2', '7 1', '#4 4 3 2', '3 4 3', 'b7 6', '2 3 #4 5 6 7 6', '5 5 5 5 #5 6 7 #1 2 3 #4 5 5', 'b6 5 b6 5 4']	['V65 I viio6 I6 viio43(2) viio43', 'viio7 i', 'viio7/V V(b64) V7', 'I I V43 #viio6/ii #viio65/ii ii6', 'I V64', 'V65 I', 'IV I6 viio6', 'viio I', 'IV V(64) V7', 'I viio6', 'viio I', 'IV I6 viio6', 'viio i', 'viio7/V Ger6/vi V(64)/vi ii', 'I6 V2 I6', 'bVII V/ii', 'V7/V iii V6/V V IV6 viio V43/V', 'V7 I64 V7 V7 #viio7/vi vi #viio65/vi #viio7/ii ii viio7/IV viio7/V V(64) V7', 'It6 I64 iv6 I64 iv']	['7 1 2 3 4 4', '7 1', '#4 5 5', '1 1 2 3 3 4', '1 2', '7 1', '7 1', '4 5 5', '1 2', '7 1', '7 1', '3 4', '2 3 #4 5 6 7', '5 5 5 5 #5 6 7 #1 2 3 #4 5 5', '5 b6']	['V65 I viio6 I6 viio43(2) viio43', 'viio7 i', 'viio7/V V(b64) V7', 'I I V43 #viio6/ii #viio65/ii ii6', 'I V64', 'V65 I', 'viio I', 'IV V(64) V7', 'I viio6', 'viio I', 'viio i', 'I6 V2', 'V7/V iii V6/V V IV6 viio', 'V7 I64 V7 V7 #viio7/vi vi #viio65/vi #viio7/ii ii viio7/IV viio7/V V(64) V7', 'I64 iv6']	['4 3 2', '4 3 2', '#4 4 3 2', '4 3', 'b7 6', '7 6', 'b6 5', 'b6 5 4']	['IV I6 viio6', 'IV I6 viio6', 'viio7/V Ger6/vi V(64)/vi ii', 'V2 I6', 'bVII V/ii', 'viio V43/V', 'It6 I64', 'iv6 I64 iv']	('ABC', 'n01op18-1_01', 303)	('ABC', 'n01op18-1_01', 404)
19	d	i	43	37	19	51.4	9	10	1 3 2 1 3 2 1 3 5 1 2 3 2 1 4 #4 5 #7 1 4 #4 5 1 4 #4 5 1 #7 6 5 1 3 2 1 3 5 1	['3 2 1', '3 2 1', '1 1 2 2 3 3 2 1', '4 4 #4 5', '#7 1', '4 #4 5 5', '4 #4 5', '1 #7', '6 5', '3 2 1']	['i6 #viio6 i', 'i6 V43 i', 'i VI6 #viio65(2) #viio65 i6(2) i6 #viio6 i', 'ii%65(2) ii%65 V65/V V', 'V65 i', 'iio6 viio/V V V', 'iio6 viio/V V', 'VI6 V6', 'VI V', 'i6 V43 i']	['1 1 2 2 3 3', '4 4 #4 5', '#7 1', '4 #4 5 5', '4 #4 5']	['i VI6 #viio65(2) #viio65 i6(2) i6', 'ii%65(2) ii%65 V65/V V', 'V65 i', 'iio6 viio/V V V', 'iio6 viio/V V']	['3 2 1', '3 2 1', '3 3 2 1', '1 #7', '6 5', '3 2 1']	['i6 #viio6 i', 'i6 V43 i', 'i6(2) i6 #viio6 i', 'VI6 V6', 'VI V', 'i6 V43 i']	('ABC', 'n01op18-1_02', 0)	('ABC', 'n01op18-1_02', 42)
20	d	III	77	65	28	43.1	12	16	b6 5 b2 1 4 #4 5 b6 5 4 3 7 5 1 5 1 4 3 7 1 5 1 4 3 7 1 4 2 3 6 2 5 b6 4 b6 5 1 4 b7 3 4 7 1 4 b6 5 1 4 1 4 5 1 5 4 3 2 1 6 #5 6 4 5 1 b7 6	['b6 5 5', 'b2 1', '4 4 #4 5 b6 b6 5 4 3', '4 3', '7 1', '4 3', '7 1', '2 3', '5 b6', 'b6 5 5', '3 3 4', '7 1', 'b6 5 5', '4 5', '5 5 5 4 3 2 1', '6 #5 6', '4 5 5 5', '1 1 b7']	['Ger6 V7(4) V7', 'v%43 V7/IV', 'V7(4)/bVII V7/bVII viio7/V V iv6 Ger6 V V2 I6', 'V2(9) I6', 'V65 I', 'V2(9) I6', 'V65 I', 'ii V/vi', 'V7 bVI', 'Ger6 V7(4) V7', 'viio7/IV V65/IV iv', 'V65 i', 'Ger6 V7(4) V7', 'IV V7', 'V7 V(64) V viio64 I6 viio6 I', 'vi V65/vi vi', 'ii6 V(64) V7(6) V7', 'I I V2/IV']	['4 4 #4 5 b6 b6', '7 1', '7 1', '2 3', '5 b6', '3 3 4', '7 1', '4 5', '#5 6', '4 5 5 5']	['V7(4)/bVII V7/bVII viio7/V V iv6 Ger6', 'V65 I', 'V65 I', 'ii V/vi', 'V7 bVI', 'viio7/IV V65/IV iv', 'V65 i', 'IV V7', 'V65/vi vi', 'ii6 V(64) V7(6) V7']	['b6 5 5', 'b2 1', 'b6 b6 5 4 3', '4 3', '4 3', 'b6 5 5', 'b6 5 5', '5 5 5 4 3 2 1', '6 #5', '1 1 b7']	['Ger6 V7(4) V7', 'v%43 V7/IV', 'iv6 Ger6 V V2 I6', 'V2(9) I6', 'V2(9) I6', 'Ger6 V7(4) V7', 'Ger6 V7(4) V7', 'V7 V(64) V viio64 I6 viio6 I', 'vi V65/vi', 'I I V2/IV']	('ABC', 'n01op18-1_02', 43)	('ABC', 'n01op18-1_02', 119)
21	d	iv	12	12	2	16.7	2	0	1 3 #7 1 3 5 2 4 5 #7 2 5	['#7 1', '4 5']	['V6 i', 'V2 V']	['#7 1', '4 5']	['V6 i', 'V2 V']	[]	[]	('ABC', 'n01op18-1_02', 120)	('ABC', 'n01op18-1_02', 131)
22	d	vii	10	9	1	11.1	0	1	4 6 2 #7 2 5 1 6 #4	['6']	['VI']	[]	[]	['6']	['VI']	('ABC', 'n01op18-1_02', 132)	('ABC', 'n01op18-1_02', 141)
23	d	iv	4	4	2	50.0	0	2	1 6 5 #4	['6 5']	['VI III6']	[]	[]	['6 5']	['VI III6']	('ABC', 'n01op18-1_02', 142)	('ABC', 'n01op18-1_02', 145)
24	d	i	33	29	14	48.3	10	4	1 4 5 1 3 2 1 3 2 1 3 5 1 2 3 4 #4 5 1 4 #4 5 1 4 #4 2 #6 #7 6	['4 5', '3 2 1', '3 2 1', '1 1 2 2 3 3 4 4 #4 5', '4 #4 5', '4 #4', '#6 #7']	['ii%65 V7', 'i6 V43 i', 'i6 V43 i', 'i VI6 #viio65(2) #viio65 i6(2) i6 ii%65(2) ii%65 viio7/V V', 'iio6 viio7/V V', 'iio6 viio7/V', 'IV6 V6']	['4 5', '1 1 2 2 3 3 4 4 #4 5', '4 #4 5', '4 #4', '#6 #7']	['ii%65 V7', 'i VI6 #viio65(2) #viio65 i6(2) i6 ii%65(2) ii%65 viio7/V V', 'iio6 viio7/V V', 'iio6 viio7/V', 'IV6 V6']	['3 2 1', '3 2 1']	['i6 V43 i', 'i6 V43 i']	('ABC', 'n01op18-1_02', 146)	('ABC', 'n01op18-1_02', 178)
25	d	I	55	48	22	45.8	11	11	5 7 1 4 3 4 3 7 1 4 3 4 3 7 1 6 2 3 6 2 5 6 4 b6 5 1 4 7 3 4 7 1 4 b6 5 1 5 1 5 4 3 2 1 6 #5 6 4 5	['7 1', '4 3 4 3', '7 1', '4 3 4 4 3', '7 1', '2 3', '5 6', 'b6 5 5', '3 4', '7 1', 'b6 5', '5 5 5 4 3 2 1', '6 #5 6', '4 5 5']	['V65 I', 'V2 I6 V2(9) I6', 'V65 I', 'V2 I6 V2(#2) V2 I6', 'V65 I', 'ii V/vi', 'V7 VI', 'Ger6 V7(4) V7', '#viio7/iv iv', 'V65 i', 'Ger6 V7', 'V7 V(64) V V2 I6 viio6 I', 'vi V65/vi vi', 'ii6 V(64) V7(6)']	['7 1', '3 4', '7 1', '3 4 4', '7 1', '2 3', '5 6', '3 4', '7 1', '#5 6', '4 5 5']	['V65 I', 'I6 V2(9)', 'V65 I', 'I6 V2(#2) V2', 'V65 I', 'ii V/vi', 'V7 VI', '#viio7/iv iv', 'V65 i', 'V65/vi vi', 'ii6 V(64) V7(6)']	['4 3', '4 3', '4 3', '4 4 3', 'b6 5 5', 'b6 5', '5 5 5 4 3 2 1', '6 #5']	['V2 I6', 'V2(9) I6', 'V2 I6', 'V2(#2) V2 I6', 'Ger6 V7(4) V7', 'Ger6 V7', 'V7 V(64) V V2 I6 viio6 I', 'vi V65/vi']	('ABC', 'n01op18-1_02', 179)	('ABC', 'n01op18-1_02', 234)
26	d	i	28	22	10	45.5	6	4	1 2 1 3 2 1 3 5 2 3 4 5 6 #4 5 1 5 1 5 1 5 1	['1 1 2 1', '3 2 1', '2 2 2 3 4 5 6 #4 5']	['i i #viio6 i', 'i6 V43 i', 'ii%7 #viio65 #viio6 i6(2) bII6 #viio65/iv iv6 viio7/V V']	['1 1 2', '2 2 2 3 4 5 6', '#4 5']	['i i #viio6', 'ii%7 #viio65 #viio6 i6(2) bII6 #viio65/iv iv6', 'viio7/V V']	['2 1', '3 2 1', '6 #4']	['#viio6 i', 'i6 V43 i', 'iv6 viio7/V']	('ABC', 'n01op18-1_02', 235)	('ABC', 'n01op18-1_02', 262)
27	F	I	14	12	2	16.7	0	2	1 3 5 3 2 4 6 #4 3 5 7 3	['3 2', '#4 3']	['V43/ii ii', 'V43/iii iii']	[]	[]	['3 2', '#4 3']	['V43/ii ii', 'V43/iii iii']	('ABC', 'n01op18-1_03', 0)	('ABC', 'n01op18-1_03', 13)
28	F	V	4	4	0	0.0	0	0	5 1 5 1	[]	[]	[]	[]	[]	[]	('ABC', 'n01op18-1_03', 14)	('ABC', 'n01op18-1_03', 17)
29	F	bIII	14	10	2	20.0	0	2	1 3 2 5 1 6 1 7 3 6	['3 2 2', '1 7 7']	['I6 V64 V43', 'vi6 V64/vi V43/vi']	[]	[]	['3 2 2', '1 7 7']	['I6 V64 V43', 'vi6 V64/vi V43/vi']	('ABC', 'n01op18-1_03', 18)	('ABC', 'n01op18-1_03', 31)
30	F	bVI	8	6	1	16.7	0	1	1 5 3 2 6 #4	['3 2']	['#viio6/ii ii']	[]	[]	['3 2']	['#viio6/ii ii']	('ABC', 'n01op18-1_03', 32)	('ABC', 'n01op18-1_03', 39)
31	F	i	25	22	5	22.7	2	3	1 5 3 #7 1 6 #4 5 1 5 1 5 #7 2 5 2 5 2 6 5 4 2	['#7 1', '6 #4 5', '6 5 5 4']	['#viio i(4+2)', 'VI viio7/V V', 'vi V7 V7 V2']	['#7 1', '#4 5']	['#viio i(4+2)', 'viio7/V V']	['6 #4', '6 5 5 4']	['VI viio7/V', 'vi V7 V7 V2']	('ABC', 'n01op18-1_03', 40)	('ABC', 'n01op18-1_03', 64)
32	F	I	100	91	48	52.7	26	22	1 3 #4 5 3 2 #4 #5 6 #4 3 5 7 3 6 1 3 6 1 3 5 1 5 1 5 1 2 1 2 1 2 1 3 4 5 1 3 4 5 1 3 #4 5 3 2 4 7 6 #4 3 2 1 7 6 #5 6 5 4 3 2 #1 2 4 #4 5 7 1 2 3 4 5 7 1 2 3 4 2 5 1 7 5 1 7 5 1 7 5 1 7 5 1	['3 #4 5 5', '3 2', '#4 #5 6 6', '#4 3', '1 2 1 2 1 2 1', '3 4 5', '3 4 5', '3 #4 5 5', '3 2', '7 6 6', '#4 3 2 1 7 6 #5 6 5 4 3 2 #1 2', '4 #4 5', '7 1 2 3 4 5', '7 1 2 3 4', '1 1 1 7', '1 1 1 7', '1 7', '1 7']	['I6 viio7/V V(4+2) V', 'V43/ii V(4)/V', 'V6/V #viio7/vi V(4+2)/ii V/ii', 'V43/iii iii(4)', 'I viio6 I viio6 I viio6 I', '#viio65/ii ii6 V7', '#viio65/ii ii6 V7', 'I6 viio7/V V(4) V', 'V43/ii ii', 'V43/vi vi(4+2) V/ii', 'V43/iii iii V2/vi vi6 V43/vi vi V65/vi vi #viio43/ii ii6 #viio65/ii ii #viio7/ii ii', 'ii6 vii%7/V V', 'vii%7 I ii I6 viio64 V(+2)', 'vii%7 I V43 I6 ii6', 'I viio43/V V6(b64) V6', 'I viio43/V V6(b64) V6', 'I V6', 'I V6']	['3 #4 5 5', '#4 #5 6 6', '1 2', '1 2', '1 2', '3 4 5', '3 4 5', '3 #4 5 5', '#5 6', '#1 2', '4 #4 5', '7 1 2 3 4 5', '7 1 2 3 4']	['I6 viio7/V V(4+2) V', 'V6/V #viio7/vi V(4+2)/ii V/ii', 'I viio6', 'I viio6', 'I viio6', '#viio65/ii ii6 V7', '#viio65/ii ii6 V7', 'I6 viio7/V V(4) V', 'V65/vi vi', '#viio7/ii ii', 'ii6 vii%7/V V', 'vii%7 I ii I6 viio64 V(+2)', 'vii%7 I V43 I6 ii6']	['3 2', '#4 3', '2 1', '2 1', '2 1', '3 2', '7 6 6', '#4 3 2 1 7 6 #5', '6 5 4 3 2 #1', '1 1 1 7', '1 1 1 7', '1 7', '1 7']	['V43/ii V(4)/V', 'V43/iii iii(4)', 'viio6 I', 'viio6 I', 'viio6 I', 'V43/ii ii', 'V43/vi vi(4+2) V/ii', 'V43/iii iii V2/vi vi6 V43/vi vi V65/vi', 'vi #viio43/ii ii6 #viio65/ii ii #viio7/ii', 'I viio43/V V6(b64) V6', 'I viio43/V V6(b64) V6', 'I V6', 'I V6']	('ABC', 'n01op18-1_03', 65)	('ABC', 'n01op18-1_03', 165)
33	F	i	1	1	0	0.0	0	0	5	[]	[]	[]	[]	[]	[]	('ABC', 'n01op18-1_03', 166)	('ABC', 'n01op18-1_03', 166)
34	F	bVI	6	5	0	0.0	0	0	1 5 1 5 1	[]	[]	[]	[]	[]	[]	('ABC', 'n01op18-1_03', 167)	('ABC', 'n01op18-1_03', 172)
35	F	i	30	14	5	35.7	2	3	6 5 #4 5 1 b4 b2 #7 1 5 3 #6 2 5	['6 5 #4 5 5', 'b2 #7 1 1']	['VI i64 viio/V V(b64) V', 'viio65 V65 i(+2) i']	['#4 5 5', '#7 1 1']	['viio/V V(b64) V', 'V65 i(+2) i']	['6 5 #4', 'b2 #7']	['VI i64 viio/V', 'viio65 V65']	('ABC', 'n01op18-1_03', 173)	('ABC', 'n01op18-1_03', 202)
36	F	I	14	14	3	21.4	3	0	1 2 7 5 3 1 5 7 1 5 7 1 5 7	['1 2', '7 1', '7 1']	['I V43', 'V65 I', 'V65 I']	['1 2', '7 1', '7 1']	['I V43', 'V65 I', 'V65 I']	[]	[]	('ABC', 'n01op18-1_04', 0)	('ABC', 'n01op18-1_04', 13)
37	F	V	5	4	2	50.0	2	0	4 #4 5 1	['4 #4 5 5']	['IV V65/V V(64) V7']	['4 #4 5 5']	['IV V65/V V(64) V7']	[]	[]	('ABC', 'n01op18-1_04', 14)	('ABC', 'n01op18-1_04', 18)
38	F	I	44	40	12	30.0	10	2	1 2 7 5 3 1 5 7 1 5 7 1 5 7 1 #1 2 #5 6 #4 5 1 5 1 7 1 3 6 3 6 3 6 7 3 6 #4 #2 7 3 2	['1 2', '7 1', '7 1', '7 1 #1 2', '#5 6', '#4 5 5', '1 7 1 1', '6 7', '3']	['I V43', 'V65 I', 'V65 I', 'V65 I #viio7/ii ii', '#viio7/vi vi', 'V65/V V(64) V7', 'I V6 I(4+2) I', 'vi V64/vi', 'iii']	['1 2', '7 1', '7 1', '7 1 #1 2', '#5 6', '#4 5 5', '7 1 1', '6 7']	['I V43', 'V65 I', 'V65 I', 'V65 I #viio7/ii ii', '#viio7/vi vi', 'V65/V V(64) V7', 'V6 I(4+2) I', 'vi V64/vi']	['1 7', '3']	['I V6', 'iii']	('ABC', 'n01op18-1_04', 19)	('ABC', 'n01op18-1_04', 62)
39	F	II	13	12	6	50.0	6	0	7 5 1 2 3 4 7 1 5 1 2 3	['1 1 2 3 4', '7 1', '1 2']	['I I V43 I6 V2', 'V65 I', 'I(6) V43']	['1 1 2 3 4', '7 1', '1 2']	['I I V43 I6 V2', 'V65 I', 'I(6) V43']	[]	[]	('ABC', 'n01op18-1_04', 63)	('ABC', 'n01op18-1_04', 75)
40	F	V	50	44	25	56.8	21	4	7 5 1 2 3 4 5 7 1 2 3 4 5 7 1 7 1 #5 6 3 4 5 1 7 1 #5 6 3 4 #1 2 5 1 2 4 3 1 2 4 3 1 4 5 1	['1 2 3 4 5', '7 1 1 2 3 4 5', '7 1 7 1', '#5 6', '3 4 4 5 5', '1 7 1', '#5 6', '3 4', '#1 2', '1 2', '4 3', '1 2', '4 3', '4 5 5']	['I V43 I6 V2 V', 'V6 I I(6) V43 I6 V2 V', 'V6 I V65 I', 'V65/vi vi', 'V65/IV IV IV V(64) V7', 'I V65 I', 'V65/vi vi', 'V65/IV IV', 'V65/ii ii', 'I V43', 'V2 I6', 'I V43', 'V2 I6', 'IV V(64) V7']	['1 2 3 4 5', '7 1 1 2 3 4 5', '7 1', '7 1', '#5 6', '3 4 4 5 5', '7 1', '#5 6', '3 4', '#1 2', '1 2', '1 2', '4 5 5']	['I V43 I6 V2 V', 'V6 I I(6) V43 I6 V2 V', 'V6 I', 'V65 I', 'V65/vi vi', 'V65/IV IV IV V(64) V7', 'V65 I', 'V65/vi vi', 'V65/IV IV', 'V65/ii ii', 'I V43', 'I V43', 'IV V(64) V7']	['1 7', '1 7', '4 3', '4 3']	['I V65', 'I V65', 'V2 I6', 'V2 I6']	('ABC', 'n01op18-1_04', 76)	('ABC', 'n01op18-1_04', 125)
41	F	v	16	15	3	20.0	3	0	1 2 5 3 1 2 5 3 1 4 5 1 5 1 5	['1 2', '1 2', '4 5 5']	['i V43', 'i V64', 'iio6 V(64) V7']	['1 2', '1 2', '4 5 5']	['i V43', 'i V64', 'iio6 V(64) V7']	[]	[]	('ABC', 'n01op18-1_04', 126)	('ABC', 'n01op18-1_04', 141)
42	F	V	11	11	5	45.5	4	1	1 7 1 3 4 1 6 b7 5 6 4	['1 7 1', '3 4', '6 b7', '5 6']	['I V65 I', 'I6 V2', 'IV6 V2/IV', 'V64/IV IV6']	['7 1', '3 4', '6 b7', '5 6']	['V65 I', 'I6 V2', 'IV6 V2/IV', 'V64/IV IV6']	['1 7']	['I V65']	('ABC', 'n01op18-1_04', 142)	('ABC', 'n01op18-1_04', 152)
43	F	I	16	16	3	18.8	3	0	2 5 1 2 7 5 3 1 5 7 1 5 7 1 5 7	['1 2', '7 1', '7 1']	['I V43', 'V65 I', 'V65 I']	['1 2', '7 1', '7 1']	['I V43', 'V65 I', 'V65 I']	[]	[]	('ABC', 'n01op18-1_04', 153)	('ABC', 'n01op18-1_04', 168)
44	F	V	5	4	2	50.0	2	0	4 #4 5 1	['4 #4 5 5']	['IV V65/V V(64) V7']	['4 #4 5 5']	['IV V65/V V(64) V7']	[]	[]	('ABC', 'n01op18-1_04', 169)	('ABC', 'n01op18-1_04', 173)
45	F	I	11	11	5	45.5	2	3	1 7 5 4 3 1 3 #1 2 #5 6	['1 7', '5 4 3', '#1 2', '#5']	['I V6', 'V7 V2 I6', 'V65/ii ii', 'V65/vi']	['#1 2', '#5']	['V65/ii ii', 'V65/vi']	['1 7', '5 4 3']	['I V6', 'V7 V2 I6']	('ABC', 'n01op18-1_04', 174)	('ABC', 'n01op18-1_04', 184)
