corpus	piece	i	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	alt_label	volta	pedalend	placement	bass_name
ABC	n02op18-2_03	82	47	44	130	130	3.0	0	0	3/4	4	1	I	G	IV		I		I							M	False	False	(0, 4, 1)	()	0	0					C
ABC	n02op18-2_03	83	48	45	133	133	3.0	0	0	3/4	4	1	V65	G	IV		V65		V		65					Mm7	False	False	(5, 2, -1, 1)	()	1	5					B
ABC	n02op18-2_03	84	49	46	136	136	3.0	0	0	3/4	4	1	V2/IV	G	IV		V2/IV		V		2		IV			Mm7	False	False	(-2, 0, 4, 1)	()	0	-2					Bb
ABC	n02op18-2_03	85	50	47	139	139	3.0	0	0	3/4	4	1	IV6	G	IV		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					A
ABC	n02op18-2_03	86	51	48	142	142	3.0	0	0	3/4	4	1	It6	G	IV		It6	It	vii	o	6	b3	V			It	False	False	(-4, 0, 6)	()	6	-4					Ab
ABC	n02op18-2_03	87	52	49	145	145	3.0	0	0	3/4	4	1	V	G	IV		V		V							M	False	False	(1, 5, 2)	()	1	1					G
ABC	n02op18-2_04	195	160	160	639/2	639/2	2.0	3/8	3/8	2/4	4	1	V65	G	iv		V65		V		65					Mm7	False	True	(5, 2, -1, 1)	()	1	5					B
ABC	n02op18-2_04	196	161	161	643/2	643/2	0.5	3/8	3/8	2/4	4	1	V2/IV	G	iv		V2/IV		V		2		IV			Mm7	False	True	(-2, 0, 4, 1)	()	0	-2					Bb
ABC	n02op18-2_04	197	162	162	322	322	1.5	0	0	2/4	4	1	IV6	G	iv		IV6		IV		6					M	False	True	(3, 0, -1)	()	-1	3					A
ABC	n02op18-2_04	198	162	162	647/2	647/2	0.5	3/8	3/8	2/4	4	1	Ger6	G	iv		Ger6	Ger	vii	o	65	b3	V			Ger	False	True	(-4, 0, -3, 6)	()	6	-4					Ab
ABC	n02op18-2_04	199	163	163	324	324	0.5	0	0	2/4	4	1	V\\	G	iv		V		V						\\	M	False	True	(1, 5, 2)	()	1	1					G
ABC	n02op18-2_04	200	163	163	649/2	649/2	1.5	1/8	1/8	2/4	4	1	V7	G	iv		V7		V		7					Mm7	False	True	(1, 5, 2, -1)	()	1	1					G
ABC	n02op18-2_04	201	164	164	326	326	2.0	0	0	2/4	4	1	V(64)	G	iv		V(64)		V			64				M	False	True	(1, 0, -3)	()	1	1					G
ABC	n02op18-2_04	202	165	165	328	328	2.0	0	0	2/4	4	1	V7	G	iv		V7		V		7					Mm7	False	True	(1, 5, 2, -1)	()	1	1					G
ABC	n02op18-2_04	203	166	166	330	330	2.0	0	0	2/4	4	1	V(64)	G	iv		V(64)		V			64				M	False	True	(1, 0, -3)	()	1	1					G
ABC	n02op18-2_04	204	167	167	332	332	2.0	0	0	2/4	4	1	V	G	iv		V		V							M	False	True	(1, 5, 2)	()	1	1					G
ABC	n02op18-2_04	205	168	168	334	334	2.0	0	0	2/4	4	1	V(64)	G	iv		V(64)		V			64				M	False	True	(1, 0, -3)	()	1	1					G
ABC	n02op18-2_04	206	169	169	336	336	2.0	0	0	2/4	4	1	V	G	iv		V		V							M	False	True	(1, 5, 2)	()	1	1					G
ABC	n02op18-2_04	207	170	170	338	338	2.0	0	0	2/4	4	1	V(64)	G	iv		V(64)		V			64				M	False	True	(1, 0, -3)	()	1	1					G
ABC	n02op18-2_04	208	171	171	340	340	2.0	0	0	2/4	4	1	V\\	G	iv		V		V						\\	M	False	True	(1, 5, 2)	()	1	1					G
ABC	n02op18-2_04	209	172	172	342	342	6.0	0	0	2/4	4	1	V	G	iv		V		V							M	False	True	(1, 5, 2)	()	1	1					G
ABC	n02op18-2_04	210	175	175	348	348	4.0	0	0	2/4	4	1	IV.V7	G	IV		V7		V		7					Mm7	False	False	(1, 5, 2, -1)	()	1	1					G
ABC	n02op18-2_04	211	177	177	352	352	2.0	0	0	2/4	4	1	V7(+9)	G	IV		V7(+9)		V		7	+9				Mm7	False	False	(1, 5, 2, -1)	(3,)	1	1					G
ABC	n02op18-2_04	212	178	178	354	354	2.0	0	0	2/4	4	1	V	G	IV		V		V							M	False	False	(1, 5, 2)	()	1	1					G
ABC	n03op18-3_04	297	200	192	574	595	3.0	0	0	6/8	4	1	I64	D	IV		I64		I		64					M	False	False	(1, 0, 4)	()	0	1					D
ABC	n03op18-3_04	298	201	193	577	598	6.0	0	0	6/8	4	1	I.viio7	D	I		viio7		vii	o	7					o7	False	False	(5, 2, -1, -4)	()	5	5					C#
ABC	n03op18-3_04	299	203	195	583	604	6.0	0	0	6/8	4	1	bVII7	D	I		bVII7		bVII		7					Mm7	False	False	(-2, 2, -1, -4)	()	-2	-2					C
ABC	n03op18-3_04	300	205	197	589	610	6.0	0	0	6/8	4	1	ii64	D	I		ii64		ii		64					m	False	False	(3, 2, -1)	()	2	3					B
