corpus	piece	i	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	alt_label	volta	pedalend	placement	bass_name
ABC	n01op18-1_01	168	137	137	408	408	1.0	0	0	3/4	4	1	#viio7	F	ii		#viio7		#vii	o	7					o7	False	True	(5, 2, -1, -4)	()	5	5					F#
ABC	n01op18-1_01	169	137	137	409	409	1.0	1/4	1/4	3/4	4	1	VI6	F	ii		VI6		VI		6					M	False	True	(0, -3, -4)	()	-4	0					G
ABC	n01op18-1_01	170	137	137	410	410	1.0	1/2	1/2	3/4	4	1	V65/ii	F	ii		V65/ii		V		65		ii			Mm7	False	True	(7, 4, 1, 3)	()	3	7					G#
ABC	n01op18-1_01	171	138	138	411	411	2.0	0	0	3/4	4	1	#viio65	F	ii		#viio65		#vii	o	65					o7	False	True	(2, -1, -4, 5)	()	5	2					A
ABC	n01op18-1_01	172	138	138	413	413	1.0	1/2	1/2	3/4	4	1	i6	F	ii		i6		i		6					m	False	True	(-3, 1, 0)	()	0	-3					Bb
ABC	n02op18-2_03	60	38	36	106	106	1.5	0	0	3/4	4	1	I6	G	I		I6		I		6					M	False	False	(4, 1, 0)	()	0	4					B
ABC	n02op18-2_03	61	38	36	215/2	215/2	0.5	3/8	3/8	3/4	4	1	I+6	G	I		I+6		I	+	6					+	False	False	(4, 8, 0)	()	0	4					B
ABC	n02op18-2_03	62	38	36	108	108	0.5	1/2	1/2	3/4	4	1	IV	G	I		IV		IV							M	False	False	(-1, 3, 0)	()	-1	-1					C
ABC	n02op18-2_03	63	38	36	217/2	217/2	0.5	5/8	5/8	3/4	4	1	V65/V	G	I		V65/V		V		65		V			Mm7	False	False	(6, 3, 0, 2)	()	2	6					C#
ABC	n02op18-2_03	64	39	37	109	109	0.5	0	0	3/4	4	1	V(64)	G	I		V(64)		V			64				M	False	False	(1, 0, 4)	()	1	1					D
ABC	n02op18-2_03	65	39	37	219/2	219/2	0.5	1/8	1/8	3/4	4	1	#viio7/vi	G	I		#viio7/vi		#vii	o	7		vi			o7	False	False	(8, 5, 2, -1)	()	8	8					D#
ABC	n02op18-2_03	66	39	37	110	110	0.5	1/4	1/4	3/4	4	1	vi	G	I		vi		vi							m	False	False	(3, 0, 4)	()	3	3					E
ABC	n03op18-3_01	256	174	172	684	692	4.0	0	0	2/2	4	1	IV6	D	I		IV6		IV		6					M	False	False	(3, 0, -1)	()	-1	3					B
ABC	n03op18-3_01	257	175	173	688	696	4.0	0	0	2/2	4	1	viio65/V	D	I		viio65/V		vii	o	65		V			o7	False	False	(3, 0, -3, 6)	()	6	3					B
ABC	n03op18-3_01	258	176	174	692	700	4.0	0	0	2/2	4	1	v6	D	I		v6		v		6					m	False	False	(-2, 2, 1)	()	1	-2					C
ABC	n03op18-3_01	259	177	175	696	704	4.0	0	0	2/2	4	1	V65	D	I		V65		V		65					Mm7	False	False	(5, 2, -1, 1)	()	1	5					C#
ABC	n03op18-3_01	260	178	176	700	708	4.0	0	0	2/2	4	1	vi6	D	I		vi6		vi		6					m	False	False	(0, 4, 3)	()	3	0					D
ABC	n03op18-3_01	261	179	177	704	712	4.0	0	0	2/2	4	1	#viio7/ii	D	I		#viio7/ii		#vii	o	7		ii			o7	False	False	(7, 4, 1, -2)	()	7	7					D#
ABC	n03op18-3_01	262	180	178	708	716	4.0	0	0	2/2	4	1	viio65	D	I		viio65		vii	o	65					o7	False	False	(2, -1, -4, 5)	()	5	2					E
ABC	n03op18-3_01	342	237	235	936	944	4.0	0	0	2/2	4	1	I	D	I		I		I							M	False	False	(0, 4, 1)	()	0	0					D
ABC	n03op18-3_01	343	238	236	940	948	4.0	0	0	2/2	4	1	bIII.v6	D	bIII		v6		v		6					m	False	False	(-2, 2, 1)	()	1	-2					Eb
ABC	n03op18-3_01	344	239	237	944	952	4.0	0	0	2/2	4	1	V6	D	bIII		V6		V		6					M	False	False	(5, 2, 1)	()	1	5					E
ABC	n03op18-3_01	345	240	238	948	956	4.0	0	0	2/2	4	1	I	D	bIII		I		I							M	False	False	(0, 4, 1)	()	0	0					F
ABC	n03op18-3_01	346	241	239	952	960	8.0	0	0	2/2	4	1	iv.V65	D	iv		V65		V		65					Mm7	False	True	(5, 2, -1, 1)	()	1	5					F#
ABC	n03op18-3_01	347	243	241	960	968	4.0	0	0	2/2	4	1	i	D	iv		i		i							m	False	True	(0, -3, 1)	()	0	0					G
ABC	n03op18-3_02	85	31	31	61	61	2.0	1/4	1/4	2/4	4	1	V65/III	Bb	v		V65/III		V		65		III			Mm7	False	True	(2, -1, -4, -2)	()	-2	2					G
ABC	n03op18-3_02	86	32	32	63	63	0.5	1/4	1/4	2/4	4	1	III	Bb	v		III		III							M	False	True	(-3, 1, -2)	()	-3	-3					Ab
ABC	n03op18-3_02	87	32	32	127/2	127/2	0.5	3/8	3/8	2/4	4	1	V65/iv	Bb	v		V65/iv		V		65		iv			Mm7	False	True	(4, 1, -2, 0)	()	0	4					A
ABC	n03op18-3_02	88	33	33	64	64	0.5	0	0	2/4	4	1	iv	Bb	v		iv		iv							m	False	True	(-1, -4, 0)	()	-1	-1					Bb
ABC	n03op18-3_02	89	33	33	129/2	129/2	1.0	1/8	1/8	2/4	4	1	bII6	Bb	v		bII6		bII		6					M	False	True	(-1, -4, -5)	()	-5	-1					Bb
ABC	n03op18-3_02	90	33	33	131/2	131/2	0.5	3/8	3/8	2/4	4	1	iv7	Bb	v		iv7		iv		7					mm7	False	True	(-1, -4, 0, -3)	()	-1	-1					Bb
ABC	n03op18-3_02	91	34	34	66	66	4.0	0	0	2/4	4	1	#viio43	Bb	v		#viio43		#vii	o	43					o7	False	True	(-1, -4, 5, 2)	()	5	-1					Bb
ABC	n03op18-3_02	92	36	36	70	70	1.0	0	0	2/4	4	1	viio7/V	Bb	v		viio7/V		vii	o	7		V			o7	False	True	(6, 3, 0, -3)	()	6	6					B
ABC	n03op18-3_02	93	36	36	71	71	0.5	1/4	1/4	2/4	4	1	V.V(64)	Bb	V		V(64)		V			64				M	False	False	(1, 0, 4)	()	1	1					C
