corpus	piece	i	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	alt_label	volta	pedalend	placement	bass_name
ABC	n01op18-1_01	168	137	137	408	408	1.0	0	0	3/4	4	1	#viio7	F	ii		#viio7		#vii	o	7					o7	False	True	(5, 2, -1, -4)	()	5	5					F#
ABC	n01op18-1_01	169	137	137	409	409	1.0	1/4	1/4	3/4	4	1	VI6	F	ii		VI6		VI		6					M	False	True	(0, -3, -4)	()	-4	0					G
ABC	n01op18-1_01	170	137	137	410	410	1.0	1/2	1/2	3/4	4	1	V65/ii	F	ii		V65/ii		V		65		ii			Mm7	False	True	(7, 4, 1, 3)	()	3	7					G#
ABC	n01op18-1_01	171	138	138	411	411	2.0	0	0	3/4	4	1	#viio65	F	ii		#viio65		#vii	o	65					o7	False	True	(2, -1, -4, 5)	()	5	2					A
ABC	n01op18-1_01	172	138	138	413	413	1.0	1/2	1/2	3/4	4	1	i6	F	ii		i6		i		6					m	False	True	(-3, 1, 0)	()	0	-3					Bb
ABC	n01op18-1_01	181	143	143	426	426	1.0	0	0	3/4	4	1	#viio7	F	v		#viio7		#vii	o	7					o7	False	True	(5, 2, -1, -4)	()	5	5					B
ABC	n01op18-1_01	182	143	143	427	427	1.0	1/4	1/4	3/4	4	1	VI6	F	v		VI6		VI		6					M	False	True	(0, -3, -4)	()	-4	0					C
ABC	n01op18-1_01	183	143	143	428	428	1.0	1/2	1/2	3/4	4	1	#viio/ii	F	v		#viio/ii		#vii	o			ii			o	False	True	(7, 4, 1)	()	7	7					C#
ABC	n01op18-1_01	184	144	144	429	429	1.0	0	0	3/4	4	1	V43	F	v		V43		V		43					Mm7	False	True	(2, -1, 1, 5)	()	1	2					D
ABC	n01op18-1_02	48	19	19	81	81	1.5	0	0	9/8	4	1	V7(4)/bVII	d	III		V7(4)/bVII		V		7	4	bVII			Mm7	True	False	(-1, -2, 0, -3)	()	-1	-1					Bb
ABC	n01op18-1_02	49	19	19	165/2	165/2	1.5	3/8	3/8	9/8	4	1	V7/bVII	d	III		V7/bVII		V		7		bVII			Mm7	True	False	(-1, 3, 0, -3)	()	-1	-1					Bb
ABC	n01op18-1_02	50	19	19	84	84	1.5	3/4	3/4	9/8	4	1	viio7/V	d	III		viio7/V		vii	o	7		V			o7	True	False	(6, 3, 0, -3)	()	6	6					B
ABC	n01op18-1_02	51	20	20	171/2	171/2	4.5	0	0	9/8	4	1	V\\	d	III		V		V						\\	M	True	False	(1, 5, 2)	()	1	1					C
ABC	n01op18-1_02	52	21	21	90	90	3.5	0	0	9/8	4	1	iv6	d	III		iv6		iv		6					m	True	False	(-4, 0, -1)	()	-1	-4					Db
ABC	n01op18-1_02	53	21	21	187/2	187/2	1.0	7/8	7/8	9/8	4	1	Ger6	d	III		Ger6	Ger	vii	o	65	b3	V			Ger	True	False	(-4, 0, -3, 6)	()	6	-4					Db
ABC	n01op18-1_04	13	7	7	25/2	25/2	0.5	1/8	1/8	2/4	4	1	V65	F	I		V65		V		65					Mm7	False	False	(5, 2, -1, 1)	()	1	5					E
ABC	n01op18-1_04	14	7	7	13	13	0.5	1/4	1/4	2/4	4	1	V.IV	F	V		IV		IV							M	False	False	(-1, 3, 0)	()	-1	-1					F
ABC	n01op18-1_04	15	7	7	27/2	27/2	0.5	3/8	3/8	2/4	4	1	V65/V	F	V		V65/V		V		65		V			Mm7	False	False	(6, 3, 0, 2)	()	2	6					F#
ABC	n01op18-1_04	16	8	8	14	14	0.5	0	0	2/4	4	1	V(64)	F	V		V(64)		V			64				M	False	False	(1, 0, 4)	()	1	1					G
ABC	n01op18-1_04	17	8	8	29/2	29/2	0.5	1/8	1/8	2/4	4	1	V7	F	V		V7		V		7					Mm7	False	False	(1, 5, 2, -1)	()	1	1					G
ABC	n01op18-1_04	32	15	15	57/2	57/2	0.5	1/8	1/8	2/4	4	1	V65	F	I		V65		V		65					Mm7	False	False	(5, 2, -1, 1)	()	1	5					E
ABC	n01op18-1_04	33	15	15	29	29	0.5	1/4	1/4	2/4	4	1	I	F	I		I		I							M	False	False	(0, 4, 1)	()	0	0					F
ABC	n01op18-1_04	34	15	15	59/2	59/2	0.5	3/8	3/8	2/4	4	1	#viio7/ii	F	I		#viio7/ii		#vii	o	7		ii			o7	False	False	(7, 4, 1, -2)	()	7	7					F#
ABC	n01op18-1_04	35	16	16	30	30	0.5	0	0	2/4	4	1	ii	F	I		ii		ii							m	False	False	(2, -1, 3)	()	2	2					G
ABC	n01op18-1_04	168	97	97	385/2	385/2	0.5	1/8	1/8	2/4	4	1	V65	F	I		V65		V		65					Mm7	False	False	(5, 2, -1, 1)	()	1	5					E
ABC	n01op18-1_04	169	97	97	193	193	0.5	1/4	1/4	2/4	4	1	V.IV	F	V		IV		IV							M	False	False	(-1, 3, 0)	()	-1	-1					F
ABC	n01op18-1_04	170	97	97	387/2	387/2	0.5	3/8	3/8	2/4	4	1	V65/V	F	V		V65/V		V		65		V			Mm7	False	False	(6, 3, 0, 2)	()	2	6					F#
ABC	n01op18-1_04	171	98	98	194	194	0.5	0	0	2/4	4	1	V(64)	F	V		V(64)		V			64				M	False	False	(1, 0, 4)	()	1	1					G
ABC	n01op18-1_04	172	98	98	389/2	389/2	0.5	1/8	1/8	2/4	4	1	V7	F	V		V7		V		7					Mm7	False	False	(1, 5, 2, -1)	()	1	1					G
ABC	n01op18-1_04	371	241	241	480	480	1.0	0	0	2/4	4	1	V.I6	F	V		I6		I		6					M	False	False	(4, 1, 0)	()	0	4					E
ABC	n01op18-1_04	372	241	241	481	481	0.5	1/4	1/4	2/4	4	1	IV	F	V		IV		IV							M	False	False	(-1, 3, 0)	()	-1	-1					F
ABC	n01op18-1_04	373	241	241	963/2	963/2	0.5	3/8	3/8	2/4	4	1	V65/V	F	V		V65/V		V		65		V			Mm7	False	False	(6, 3, 0, 2)	()	2	6					F#
ABC	n01op18-1_04	374	242	242	482	482	0.5	0	0	2/4	4	1	V(64)	F	V		V(64)		V			64				M	False	False	(1, 0, 4)	()	1	1					G
