mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0.5	0	6/8	1/8	5/8		1			firstMeasure	2
2	1	1/2	3.0	0	6/8	3/4	0						3
3	2	7/2	3.0	0	6/8	3/4	0						4
4	3	13/2	3.0	0	6/8	3/4	0						5
5	4	19/2	3.0	0	6/8	3/4	0						6
6	5	25/2	3.0	0	6/8	3/4	0				line		7
7	6	31/2	3.0	0	6/8	3/4	0						8
8	7	37/2	3.0	0	6/8	3/4	0						9
9	8	43/2	3.0	0	6/8	3/4	0						10
10	9	49/2	3.0	0	6/8	3/4	0						11
11	10	55/2	3.0	0	6/8	3/4	0				line		12
12	11	61/2	3.0	0	6/8	3/4	0						13
13	12	67/2	3.0	0	6/8	3/4	0						14
14	13	73/2	3.0	0	6/8	3/4	0						15
15	14	79/2	3.0	0	6/8	3/4	0						16
16	15	85/2	3.0	0	6/8	3/4	0				line		17
17	16	91/2	3.0	0	6/8	3/4	0						18
18	17	97/2	3.0	0	6/8	3/4	0						19
19	18	103/2	3.0	0	6/8	3/4	0						20
20	19	109/2	3.0	0	6/8	3/4	0						21
21	20	115/2	3.0	0	6/8	3/4	0						22
22	21	121/2	3.0	0	6/8	3/4	0						23
23	22	127/2	3.0	0	6/8	3/4	0						24
24	23	133/2	3.0	0	6/8	3/4	0						25
25	24	139/2	3.0	0	6/8	3/4	0						26
26	25	145/2	3.0	0	6/8	3/4	0						27
27	26	151/2	3.0	0	6/8	3/4	0						28
28	27	157/2	3.0	0	6/8	3/4	0				line		29
29	28	163/2	3.0	0	6/8	3/4	0						30
30	29	169/2	3.0	0	6/8	3/4	0						31
31	30	175/2	3.0	0	6/8	3/4	0				line		32
32	31	181/2	3.0	0	6/8	3/4	0						33
33	32	187/2	3.0	0	6/8	3/4	0						34
34	33	193/2	3.0	0	6/8	3/4	0						35
35	34	199/2	3.0	0	6/8	3/4	0						36
36	35	205/2	3.0	0	6/8	3/4	0						37
37	36	211/2	3.0	0	6/8	3/4	0						38
38	37	217/2	3.0	0	6/8	3/4	0						39
39	38	223/2	3.0	0	6/8	3/4	0						40
40	39	229/2	3.0	0	6/8	3/4	0						41
41	40	235/2	3.0	0	6/8	3/4	0						42
42	41	241/2	3.0	0	6/8	3/4	0						43
43	42	247/2	3.0	0	6/8	3/4	0			double	line		44
44	43	253/2	3.0	3	6/8	3/4	0						45
45	44	259/2	3.0	3	6/8	3/4	0				line		46
46	45	265/2	3.0	3	6/8	3/4	0						47
47	46	271/2	3.0	3	6/8	3/4	0						48
48	47	277/2	3.0	3	6/8	3/4	0						49
49	48	283/2	3.0	3	6/8	3/4	0						50
50	49	289/2	3.0	3	6/8	3/4	0						51
51	50	295/2	3.0	3	6/8	3/4	0						52
52	51	301/2	3.0	3	6/8	3/4	0						53
53	52	307/2	3.0	3	6/8	3/4	0						54
54	53	313/2	3.0	3	6/8	3/4	0						55
55	54	319/2	3.0	3	6/8	3/4	0						56
56	55	325/2	3.0	3	6/8	3/4	0						57
57	56	331/2	3.0	3	6/8	3/4	0						58
58	57	337/2	3.0	3	6/8	3/4	0						59
59	58	343/2	3.0	3	6/8	3/4	0						60
60	59	349/2	3.0	3	6/8	3/4	0						61
61	60	355/2	3.0	3	6/8	3/4	0						62
62	61	361/2	3.0	3	6/8	3/4	0						63
63	62	367/2	3.0	3	6/8	3/4	0						64
64	63	373/2	3.0	3	6/8	3/4	0						65
65	64	379/2	3.0	3	6/8	3/4	0				line		66
66	65	385/2	3.0	3	6/8	3/4	0						67
67	66	391/2	3.0	3	6/8	3/4	0						68
68	67	397/2	3.0	3	6/8	3/4	0				line		69
69	68	403/2	3.0	3	6/8	3/4	0						70
70	69	409/2	3.0	3	6/8	3/4	0				line		71
71	70	415/2	3.0	3	6/8	3/4	0			double			72
72	71	421/2	3.0	0	6/8	3/4	0						73
73	72	427/2	3.0	0	6/8	3/4	0						74
74	73	433/2	3.0	0	6/8	3/4	0						75
75	74	439/2	3.0	0	6/8	3/4	0						76
76	75	445/2	3.0	0	6/8	3/4	0						77
77	76	451/2	3.0	0	6/8	3/4	0						78
78	77	457/2	3.0	0	6/8	3/4	0				line		79
79	78	463/2	3.0	0	6/8	3/4	0						80
80	79	469/2	3.0	0	6/8	3/4	0				line		81
81	80	475/2	3.0	0	6/8	3/4	0				line		82
82	81	481/2	3.0	0	6/8	3/4	0						83
83	82	487/2	3.0	0	6/8	3/4	0				line		84
84	83	493/2	3.0	0	6/8	3/4	0				line		85
85	84	499/2	3.0	0	6/8	3/4	0						86
86	85	505/2	3.0	0	6/8	3/4	0						87
87	86	511/2	3.0	0	6/8	3/4	0						88
88	87	517/2	3.0	0	6/8	3/4	0						89
89	88	523/2	3.0	0	6/8	3/4	0						90
90	89	529/2	3.0	0	6/8	3/4	0						91
91	90	535/2	3.0	0	6/8	3/4	0						92
92	91	541/2	3.0	0	6/8	3/4	0						93
93	92	547/2	3.0	0	6/8	3/4	0						94
94	93	553/2	3.0	0	6/8	3/4	0						95
95	94	559/2	3.0	0	6/8	3/4	0						96
96	95	565/2	3.0	0	6/8	3/4	0						97
97	96	571/2	3.0	0	6/8	3/4	0						98
98	97	577/2	3.0	0	6/8	3/4	0						99
99	98	583/2	3.0	0	6/8	3/4	0						100
100	99	589/2	3.0	0	6/8	3/4	0						101
101	100	595/2	3.0	0	6/8	3/4	0						102
102	101	601/2	3.0	0	6/8	3/4	0						103
103	102	607/2	3.0	0	6/8	3/4	0						104
104	103	613/2	3.0	0	6/8	3/4	0						105
105	104	619/2	3.0	0	6/8	3/4	0						106
106	105	625/2	3.0	0	6/8	3/4	0				line		107
107	106	631/2	3.0	0	6/8	3/4	0						108
108	107	637/2	3.0	0	6/8	3/4	0						109
109	108	643/2	3.0	0	6/8	3/4	0						110
110	109	649/2	3.0	0	6/8	3/4	0						111
111	110	655/2	3.0	0	6/8	3/4	0						112
112	111	661/2	3.0	0	6/8	3/4	0			end		lastMeasure	-1
