piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	path	extension	annotator	reviewer	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus
c03n02_allemande	1: 4/4	1: 3	20	17	72	40	34	144		159.75	356	228	0	0	106	A	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 2		Concert Royal no 3: Allemande					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Allemande; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~"		"<font size=""12""/>3; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n02_allemande.mscx	False	33-83 (A1-B5)	MS3/c03n02_allemande.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	57-83 (A3-B5)	Instrument 1	33-63 (A1-D#4)		
c03n03_courante	1: 3/2	1: 0	28	25	162.5	49	48	288.5	(((11,), (12,)), ((25,), (26,)))	453.25	390	216	0	0	97	a	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 3		Concert Royal no 3: Courante					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Courante"	"<font size=""12""/>4"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n03_courante.mscx	False	33-84 (A1-C6)	MS3/c03n03_courante.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	60-84 (C4-C6)	Instrument 1	33-62 (A1-D4)		
c03n04_sarabande_grave	1: 3/4	1: 0	32	32	96	64	64	192		324	348	173	0	0	70	a	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 2		Concert Royal no 3: Sarabande					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Sarabande grave"	"<font size=""12""/>6"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n04_sarabande_grave.mscx	False	33-81 (A1-A5)	MS3/c03n04_sarabande_grave.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	59-81 (B3-A5)	Instrument 1	33-62 (A1-D4)		
c03n05_gavotte	1: 2/2	1: 0	28	25	104	56	50	208		244.5	356	192	0	0	87	a	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 3		Concert Royal no 3: Gavotte					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Gavotte; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~"		"<font size=""12""/>7; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n05_gavotte.mscx	False	33-81 (A1-A5)	MS3/c03n05_gavotte.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	60-81 (C4-A5)	Instrument 1	33-64 (A1-E4)		
c03n06_musette_1	1: 6/8	1: 3, 19: 0	32	28	84	64	56	168		150	204	130	0	0	28	A	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 2		Concert Royal no 3: Muzette					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Muzette"	"<font size=""12""/>8"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n06_musette_1.mscx	False	40-81 (E2-A5)	MS3/c03n06_musette_1.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	60-81 (C4-A5)	Instrument 1	40-52 (E2-E3)		
c03n07_musette_2	1: 6/8	1: 3, 19: 0	32	27	84	64	55	168		232.5	354	160	0	0	33	A	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 3		Concert Royal no 3: Muzette B					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Muzette"	Cette version inclut la partie de viole.	"<font size=""12""/>9; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n07_musette_2.mscx	False	40-81 (E2-A5)	MS3/c03n07_musette_2.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	60-81 (C4-A5)	Instrument 1	40-64 (E2-E4)		
c03n08_chaconne_legere	1: 3/8	1: 0, 71: 3, 112: 0	132	87	193	141	95	205		428	1177	644	0	0	280	a	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 3		Concert Royal no 3: Prélude					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Chaconne
<font size=""18""/><font face=""SnellRoundhand BoldScript""/>Légère"	"<font size=""12""/>10"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n08_chaconne_legere.mscx	False	40-84 (E2-C6)	MS3/c03n08_chaconne_legere.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	60-84 (C4-C6)	Instrument 1	40-66 (E2-F#4)		
c04n01_prelude	1: 4/4	1: 1	14	14	54	14	14	54		121	245	143	0	0	86	e	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 4		Concert Royal 4					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Quatrième Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Prélude"		"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c04n01_prelude.mscx	False	35-81 (B1-A5)	MS3/c04n01_prelude.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	55-81 (G3-A5)	Instrument 1	35-64 (B1-E4)		
c04n02_allemande	1: 4/4	1: 1	16	14	56	32	28	112		121.5	261	158	0	0	77	e	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 4		Concert royal no 4: Allemande					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Allemande; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Quatrième Concert ~"	"<font size=""12""/>2"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c04n02_allemande.mscx	False	35-81 (B1-A5)	MS3/c04n02_allemande.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	59-81 (B3-A5)	Instrument 1	35-62 (B1-D4)		
c04n03_courante_francoise	1: 3/2	1: 4	23	21	126	46	42	252		334.75	341	196	0	0	84	E	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 4		Concert Royal no 4: Courante française					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Courante Françoise; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Quatrième Concert ~"		"<font size=""12""/>3; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c04n03_courante_francoise.mscx	False	35-85 (B1-C#6)	MS3/c04n03_courante_francoise.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	63-85 (D#4-C#6)	Instrument 1	35-66 (B1-F#4)		
c04n04_courante_a_litalienne	1: 6/8	1: 1	76	73	220.5	142	138	414	(((67,), (68,)),)	533	832	435	0	0	134	e	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 4		Concert Royal no 4: Courante italienne					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Courante à l’italiéne ; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Quatrième Concert ~"		"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733); <font size=""12""/>5"	3.6.2	1.2.7	MS3	MS3/c04n04_courante_a_litalienne.mscx	False	38-84 (D2-C6)	MS3/c04n04_courante_a_litalienne.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	55-84 (G3-C6)	Instrument 1	38-66 (D2-F#4)		
c04n05_sarabande	1: 3/4	1: 4	24	24	72	48	48	144		191.5	185	92	0	0	47	E	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 4		Concert Royal no 4: Sarabande					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Sarabande; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Quatrième Concert ~"	"<font size=""12""/>8"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c04n05_sarabande.mscx	False	40-83 (E2-B5)	MS3/c04n05_sarabande.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	63-83 (D#4-B5)	Instrument 1	40-71 (E2-B4)		
c04n06_rigaudon	1: 2/4	1: 4	44	41	84	88	82	168		157.25	292	196	0	0	59	E	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 4		Concert Royal no 4: Rigaudon					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Rigaudon; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Quatrième Concert ~"		"<font size=""12""/>9; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c04n06_rigaudon.mscx	False	35-81 (B1-A5)	MS3/c04n06_rigaudon.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	57-81 (A3-A5)	Instrument 1	35-64 (B1-E4)		
